defender1_x,defender1_y,defender2_x,defender2_y,defender3_x,defender3_y,defender4_x,defender4_y,defender5_x,defender5_y,defender6_x,defender6_y,defender7_x,defender7_y,defender8_x,defender8_y,defender9_x,defender9_y,defender10_x,defender10_y,defender11_x,defender11_y,offensive_alignment,possessionTeamScoreDiff,quarter,down,yards_to_go,deepest_safety_depth,next_deepest_safety_depth,middle_field_count,outside_field_count,players_near_los,players_in_box,avg_defender_depth,std_defender_depth,avg_cb_depth,min_cb_depth,avg_safety_distance,lateral_spread,target_y
0.72,23.65,2.73,25.87,0.68,43.26,1.07,28.5,3.27,19.36,14.53,20.0,13.46,34.33,2.85,31.26,1.06,32.2,0.32,34.96,4.01,13.06,1.0,0.0,1.0,2.0,3.0,14.53,13.46,8.0,3.0,5.0,6.0,4.0636,4.8275,2.6533,0.68,10.4664,30.2,2.0
0.39,32.0,4.33,29.53,13.32,30.21,4.97,24.62,0.45,27.69,0.56,23.54,10.75,20.69,8.14,15.89,0.41,20.33,0.57,35.6,3.68,37.07,0.0,1.0,3.0,2.0,3.0,13.32,10.75,9.0,2.0,5.0,7.0,4.3245,4.3867,4.13,0.57,8.9955,21.18,0.0
10.45,30.2,0.76,20.56,8.97,19.95,0.51,17.22,3.79,43.73,0.43,26.76,0.53,23.9,4.39,27.56,4.03,21.85,2.89,15.17,0.2,30.44,0.0,-1.0,2.0,1.0,3.0,10.45,8.97,10.0,1.0,5.0,8.0,3.3591,3.3726,3.79,3.79,7.0909,28.56,4.0
15.84,31.08,0.42,27.21,6.89,15.87,2.37,30.4,9.8,20.56,0.58,37.57,0.49,32.85,3.58,28.04,7.8,37.13,0.62,22.48,6.82,9.66,4.0,0.0,3.0,3.0,2.0,15.84,9.8,9.0,2.0,4.0,6.0,5.0191,4.712,7.17,6.82,10.8209,27.91,2.0
0.21,29.68,0.45,24.85,1.99,19.33,3.11,15.79,2.22,29.0,0.4,20.89,18.19,20.71,6.27,14.13,0.39,17.79,7.84,32.2,0.36,34.27,3.0,1.0,3.0,3.0,2.0,18.19,7.84,10.0,1.0,5.0,7.0,3.7664,5.1774,2.99,0.36,14.4236,20.14,5.0
4.38,9.28,10.04,35.37,1.77,18.33,8.18,41.17,15.63,26.65,0.8,31.76,0.56,34.29,4.28,34.74,4.73,28.82,0.7,24.32,1.01,26.83,0.0,1.0,2.0,2.0,3.0,15.63,10.04,8.0,3.0,4.0,6.0,4.7345,4.5817,4.6525,1.77,10.8955,31.89,3.0
0.58,32.8,7.36,40.66,1.06,21.71,1.9,26.12,1.73,28.13,0.91,29.92,8.14,9.54,0.91,24.45,7.33,16.86,2.74,31.42,7.64,33.01,3.0,1.0,3.0,3.0,3.0,7.36,2.74,8.0,3.0,4.0,7.0,3.6636,3.0468,7.7033,7.33,3.8891,31.12,2.0
0.84,18.57,7.73,18.4,1.17,23.39,0.72,29.81,4.12,45.22,8.16,27.45,5.44,12.83,15.95,20.2,1.3,27.1,17.13,35.22,4.95,36.23,1.0,0.0,2.0,1.0,3.0,17.13,15.95,8.0,3.0,4.0,4.0,6.1373,5.5202,4.8367,4.12,10.9927,32.39,1.0
35.81,5.81,1.27,32.1,1.16,23.75,0.45,17.52,37.85,32.47,1.21,30.39,39.19,32.42,49.89,44.1,38.17,17.37,57.98,26.04,59.13,34.84,1.0,-1.0,4.0,1.0,3.0,59.13,57.98,8.0,3.0,4.0,4.0,29.2827,22.6178,41.1833,35.81,29.8473,38.29,5.0
0.35,20.99,1.23,7.85,3.09,13.1,17.52,17.67,0.64,18.75,0.5,25.3,0.87,35.55,11.12,34.05,0.29,28.81,0.07,31.86,0.78,44.51,3.0,1.0,1.0,2.0,3.0,17.52,11.12,8.0,3.0,8.0,6.0,3.3145,5.4193,1.5333,0.64,14.2055,36.66,0.0
13.84,21.11,0.82,29.97,5.56,20.84,7.84,40.73,0.73,32.75,4.74,29.43,9.91,35.54,0.67,27.22,7.53,14.32,0.74,24.31,0.84,36.79,0.0,1.0,2.0,1.0,3.0,13.84,9.91,9.0,2.0,5.0,6.0,4.8382,4.3351,6.9767,5.56,9.0018,26.41,3.0
9.55,19.01,0.4,35.07,3.57,25.58,2.42,20.23,0.4,27.9,0.25,30.52,1.03,43.97,0.41,25.29,1.0,11.05,10.33,35.65,3.96,30.75,1.0,1.0,1.0,1.0,3.0,10.33,9.55,8.0,3.0,6.0,7.0,3.0291,3.4886,1.015,1.0,7.3009,32.92,1.0
12.71,28.94,12.91,18.9,0.81,30.14,1.93,9.03,3.8,44.39,0.54,26.44,2.11,25.85,0.89,21.06,0.38,16.42,0.76,33.58,2.03,18.07,0.0,1.0,3.0,3.0,3.0,12.91,12.71,9.0,2.0,5.0,7.0,3.5336,4.4727,2.1633,0.76,9.3764,35.36,5.0
2.72,27.36,8.17,34.14,0.15,23.33,0.13,30.74,7.86,13.84,2.79,33.39,0.8,39.94,10.43,22.71,0.12,35.38,0.78,20.39,0.13,27.49,1.0,1.0,2.0,3.0,2.0,10.43,8.17,9.0,2.0,6.0,7.0,3.0982,3.6709,4.33,0.8,7.3318,26.1,3.0
0.19,34.52,4.23,28.99,6.47,40.88,0.46,27.98,1.58,22.3,12.61,32.4,0.44,25.82,5.31,10.34,9.7,18.55,3.83,31.69,0.0,31.1,2.0,0.0,2.0,1.0,3.0,12.61,9.7,8.0,3.0,4.0,7.0,4.0745,4.0004,4.4533,1.58,8.5355,30.54,0.0
0.42,24.38,4.04,35.01,0.7,35.63,4.33,39.63,4.48,30.92,4.0,27.23,0.77,29.13,3.0,9.43,0.73,32.35,12.39,22.89,3.06,18.82,0.0,1.0,1.0,2.0,3.0,12.39,4.04,9.0,2.0,4.0,8.0,3.4473,3.2205,3.4633,3.0,8.9427,30.2,1.0
0.61,24.8,9.94,26.12,8.43,17.67,18.96,36.03,18.57,19.34,12.5,31.81,0.7,30.26,10.97,11.36,0.77,32.79,10.7,42.76,0.1,35.92,3.0,-1.0,1.0,3.0,3.0,18.96,18.57,7.0,4.0,4.0,4.0,8.3864,6.6953,9.7,8.43,10.5736,31.4,2.0
0.63,24.74,4.02,19.37,0.13,16.63,5.64,9.1,0.47,21.31,7.37,43.83,0.79,31.42,9.91,15.49,7.01,33.5,4.81,23.41,1.27,28.5,0.0,1.0,4.0,1.0,3.0,9.91,7.01,9.0,2.0,5.0,7.0,3.8227,3.2319,4.6,0.79,6.0873,34.73,0.0
3.71,26.9,0.49,27.73,6.8,13.89,0.39,35.61,1.53,32.25,0.75,24.55,0.51,31.48,1.14,41.88,13.03,22.15,15.74,34.0,6.18,25.59,1.0,-2.0,4.0,1.0,3.0,15.74,13.03,9.0,2.0,5.0,6.0,4.57,5.142,4.7067,1.14,11.17,27.99,1.0
0.77,18.67,4.71,33.63,2.5,31.97,13.98,22.9,3.67,23.91,0.84,15.64,0.55,26.61,0.77,43.06,0.48,29.28,0.7,23.83,0.61,20.77,1.0,0.0,1.0,3.0,1.0,13.98,2.5,10.0,1.0,7.0,9.0,2.6891,3.8268,2.74,0.77,11.2909,27.42,0.0
0.21,28.73,0.53,19.55,5.96,34.05,0.34,21.82,2.37,31.45,8.85,23.61,0.65,24.81,4.62,23.76,6.31,39.23,0.92,17.03,4.42,16.49,0.0,1.0,2.0,3.0,1.0,8.85,5.96,9.0,2.0,5.0,8.0,3.1982,2.8501,5.365,4.42,5.6518,22.74,5.0
0.09,19.38,2.96,17.63,0.07,27.19,2.38,30.21,7.31,16.08,8.78,27.3,3.38,26.04,5.89,34.02,0.2,24.04,3.09,22.83,0.17,30.97,1.0,0.0,1.0,2.0,1.0,8.78,2.96,11.0,0.0,4.0,8.0,3.12,2.9173,5.1933,2.38,5.66,17.94,2.0
4.23,27.14,0.43,29.76,0.68,24.53,1.2,19.09,0.9,27.07,4.47,23.53,1.24,41.13,11.34,27.85,1.13,20.71,0.74,32.78,7.04,14.89,1.0,-1.0,1.0,2.0,3.0,11.34,1.2,9.0,2.0,7.0,8.0,3.0364,3.3149,4.14,1.24,8.3036,26.24,2.0
0.8,29.21,7.91,21.22,1.25,18.02,3.73,16.31,3.72,27.58,6.9,22.53,1.01,21.86,3.58,23.45,6.43,35.36,4.42,22.21,1.22,24.64,0.0,-1.0,3.0,2.0,2.0,7.91,6.9,10.0,1.0,4.0,8.0,3.7245,2.4073,5.08,3.73,4.1855,19.05,4.0
0.47,28.76,15.8,29.92,0.48,22.65,15.64,19.31,0.94,17.17,1.76,19.78,0.51,26.67,8.68,41.95,1.28,24.81,5.44,32.84,1.53,11.77,2.0,-1.0,3.0,3.0,3.0,15.8,15.64,9.0,2.0,5.0,6.0,4.7755,5.6969,5.2167,1.53,11.0245,30.18,0.0
3.91,32.6,0.59,35.93,8.86,35.81,0.72,29.2,7.55,9.99,3.88,26.89,6.61,43.56,11.92,25.43,0.99,19.39,0.55,25.51,0.25,32.6,0.0,-1.0,2.0,3.0,1.0,11.92,8.86,8.0,3.0,5.0,6.0,4.1664,3.8481,7.08,6.61,7.7536,33.57,2.0
3.91,23.39,17.1,23.37,0.66,33.85,4.67,33.48,0.58,31.4,0.69,27.59,1.07,38.01,0.71,24.87,7.98,14.24,7.7,37.9,5.22,28.01,0.0,-1.0,3.0,1.0,3.0,17.1,7.7,10.0,1.0,5.0,7.0,4.5718,4.793,4.525,1.07,12.5282,23.77,2.0
6.25,33.88,0.79,29.58,16.12,21.26,11.62,43.57,0.41,37.42,2.63,27.87,3.5,18.23,1.57,8.06,17.68,33.01,0.51,23.59,0.39,35.01,1.0,-1.0,1.0,3.0,3.0,17.68,16.12,8.0,3.0,4.0,5.0,5.5882,6.2221,5.5633,1.57,12.0918,35.51,4.0
0.58,34.81,4.53,30.72,12.08,24.19,0.49,32.67,0.12,23.88,11.73,35.58,6.45,19.11,3.52,25.3,0.57,28.93,4.41,34.72,4.37,38.86,1.0,1.0,3.0,1.0,3.0,12.08,11.73,10.0,1.0,4.0,8.0,4.4409,4.0514,5.41,4.37,7.6391,19.75,4.0
0.28,17.4,0.11,19.1,0.97,24.35,7.63,42.33,0.88,21.1,0.18,28.43,5.82,32.4,18.64,23.33,4.51,13.53,0.58,25.6,7.67,8.27,0.0,1.0,4.0,1.0,3.0,18.64,5.82,8.0,3.0,6.0,6.0,4.2973,5.3746,6.6033,4.51,14.3427,34.06,0.0
11.98,17.13,6.01,35.49,1.7,43.92,0.37,31.17,0.83,22.42,0.46,17.1,1.32,20.35,0.28,26.95,2.26,14.1,6.37,6.4,6.66,28.62,3.0,1.0,3.0,3.0,1.0,11.98,6.66,8.0,3.0,5.0,6.0,3.4764,3.5991,4.6933,1.7,8.5036,37.52,0.0
0.68,29.18,4.83,27.47,0.12,18.02,9.05,18.47,0.15,26.55,2.54,31.57,10.11,30.46,0.56,22.99,6.44,35.23,3.5,20.06,4.25,12.58,1.0,1.0,2.0,2.0,2.0,10.11,9.05,9.0,2.0,4.0,7.0,3.8391,3.3625,5.345,4.25,6.2709,22.65,2.0
0.57,17.83,3.2,23.33,5.19,35.71,10.69,32.77,12.82,19.13,2.82,26.61,0.73,30.65,0.86,11.8,1.55,36.05,0.84,23.14,0.66,19.07,1.0,0.0,1.0,3.0,3.0,12.82,10.69,8.0,3.0,5.0,6.0,3.63,4.0894,2.5333,0.86,9.19,24.25,0.0
12.64,20.53,5.79,20.59,4.36,33.55,12.29,35.57,0.98,29.0,1.04,22.48,1.08,25.01,5.13,26.08,8.92,13.29,1.46,23.38,8.44,40.85,3.0,0.0,1.0,3.0,3.0,12.64,12.29,9.0,2.0,4.0,5.0,5.6482,4.2091,7.7167,5.79,6.9918,27.56,3.0
0.81,23.81,1.41,17.9,2.2,9.23,11.92,36.83,1.24,28.13,0.97,31.22,16.85,21.15,3.77,32.24,4.24,27.44,6.78,42.11,0.54,35.87,0.0,-2.0,4.0,1.0,3.0,16.85,11.92,8.0,3.0,5.0,6.0,4.6118,5.0494,3.4633,1.41,12.2382,32.88,1.0
0.6,32.2,0.8,34.61,9.0,23.46,0.69,30.4,0.85,28.92,0.68,26.97,8.47,38.88,7.97,15.85,0.91,25.66,0.61,24.24,7.57,8.07,1.0,0.0,2.0,2.0,1.0,7.97,0.61,9.0,2.0,7.0,7.0,3.4682,3.6321,8.3467,7.57,4.78,30.81,5.0
1.53,39.22,10.63,34.48,1.27,31.06,0.75,36.22,1.18,27.64,1.36,20.42,0.85,33.25,6.7,15.03,1.26,23.7,9.09,22.37,4.44,25.51,1.0,-1.0,1.0,3.0,2.0,10.63,9.09,10.0,1.0,6.0,8.0,3.5509,3.4588,3.1967,1.36,7.0791,24.19,0.0
4.35,21.68,0.9,31.99,4.84,32.67,1.03,23.74,1.76,20.14,1.21,29.12,9.86,31.39,4.31,26.81,4.21,36.2,0.57,36.45,4.68,17.98,1.0,3.0,3.0,1.0,3.0,9.86,4.35,10.0,1.0,4.0,9.0,3.4291,2.6143,4.445,4.21,6.4309,18.47,0.0
1.17,26.44,0.81,23.61,4.1,22.69,0.81,18.88,6.07,34.04,1.29,15.55,15.56,24.71,4.26,26.12,1.03,30.1,5.24,29.93,0.97,21.86,1.0,-1.0,3.0,2.0,1.0,15.56,5.24,10.0,1.0,6.0,8.0,3.7555,4.1842,3.68,1.29,11.8045,18.49,0.0
4.18,23.56,0.72,24.47,4.48,38.01,4.15,27.13,3.92,34.69,4.54,30.66,1.01,32.39,0.21,27.28,0.8,29.89,0.83,35.33,13.12,28.54,0.0,1.0,3.0,1.0,3.0,13.12,-1.0,11.0,0.0,5.0,10.0,3.4509,3.5006,4.33,4.18,9.6691,14.45,2.0
0.23,20.4,10.89,32.34,0.27,28.8,3.16,10.67,3.57,31.23,5.01,9.44,0.31,33.95,12.14,19.22,4.95,39.19,0.35,25.56,4.04,23.99,0.0,2.0,4.0,2.0,1.0,12.14,10.89,8.0,3.0,4.0,6.0,4.0836,3.9489,4.3733,3.16,8.0564,29.75,2.0
0.55,34.49,13.42,16.92,6.23,45.25,0.58,32.58,3.9,24.97,0.92,26.84,4.39,33.36,0.71,23.8,5.35,7.68,12.77,34.84,3.78,17.26,1.0,-2.0,4.0,1.0,3.0,13.42,12.77,7.0,4.0,4.0,6.0,4.7818,4.3677,5.12,3.78,8.6382,37.57,4.0
0.48,20.84,0.22,18.15,6.49,43.74,9.53,30.64,5.97,36.1,0.83,23.73,18.42,20.08,7.11,22.54,0.91,26.38,8.42,13.24,0.37,29.86,1.0,1.0,4.0,3.0,2.0,18.42,9.53,8.0,3.0,5.0,5.0,5.3409,5.3723,6.96,5.97,13.0791,30.5,2.0
0.65,22.63,0.43,26.13,8.96,41.3,0.43,28.76,4.78,20.85,3.88,26.71,5.56,7.51,1.29,46.22,1.99,9.83,10.9,16.34,0.72,19.05,0.0,1.0,3.0,2.0,2.0,10.9,8.96,7.0,4.0,5.0,6.0,3.5991,3.4688,2.9467,1.29,7.3009,38.71,3.0
6.53,10.38,11.74,35.18,3.1,29.87,0.03,27.21,0.1,32.01,2.78,18.12,4.71,37.79,0.03,34.64,0.38,29.46,0.21,23.26,12.44,19.12,0.0,1.0,1.0,2.0,2.0,12.44,11.74,8.0,3.0,5.0,7.0,3.8227,4.4128,4.6733,2.78,8.6173,27.41,4.0
0.34,28.54,11.12,31.61,8.02,37.77,6.68,14.06,0.49,26.04,3.03,20.31,1.08,19.94,3.12,26.06,3.7,27.39,9.56,19.48,0.79,22.57,0.0,2.0,2.0,1.0,3.0,11.12,9.56,10.0,1.0,4.0,7.0,4.3573,3.6915,6.1333,3.7,6.7627,23.71,4.0
1.29,13.65,10.14,21.27,0.51,28.14,0.31,32.57,1.5,35.94,4.49,26.96,1.05,44.03,4.31,20.68,0.36,24.6,0.24,21.06,13.94,31.52,0.0,-1.0,3.0,2.0,1.0,13.94,10.14,9.0,2.0,7.0,7.0,3.4673,4.361,1.28,1.05,10.4727,30.38,0.0
1.51,25.1,1.18,21.82,14.94,30.06,13.3,20.3,1.36,28.94,5.51,22.65,3.89,16.33,5.02,26.4,1.25,17.9,4.12,30.53,8.46,36.75,0.0,1.0,2.0,2.0,2.0,14.94,13.3,10.0,1.0,3.0,6.0,5.5036,4.6046,5.49,3.89,9.4364,20.42,4.0
3.66,21.63,0.74,24.67,10.87,20.41,10.64,11.87,3.67,31.71,3.05,28.34,10.03,43.57,10.21,37.09,2.45,37.44,0.98,34.96,1.02,30.07,0.0,0.0,1.0,3.0,3.0,10.87,10.21,9.0,2.0,3.0,7.0,5.2109,4.0703,7.9067,3.05,5.6591,31.7,4.0
4.16,42.06,0.59,27.48,5.57,21.95,2.08,32.91,0.87,24.1,3.15,15.13,4.62,26.99,14.63,18.72,11.99,33.47,0.77,21.02,0.77,17.67,0.0,-1.0,2.0,1.0,3.0,14.63,11.99,10.0,1.0,4.0,7.0,4.4727,4.5121,3.655,3.15,10.1573,26.93,1.0
12.7,28.16,0.55,43.87,5.43,12.8,0.21,21.46,0.36,26.38,0.28,18.33,0.57,24.49,5.43,16.63,0.49,29.05,0.27,23.21,2.13,34.65,0.0,0.0,1.0,3.0,1.0,12.7,5.43,8.0,3.0,7.0,6.0,2.5836,3.7242,2.7033,0.55,10.1164,31.07,0.0
0.66,16.83,4.53,26.11,1.31,28.09,7.56,12.83,10.83,18.32,11.85,33.42,4.62,20.37,0.77,19.91,3.62,34.04,1.0,24.12,3.24,39.04,3.0,-3.0,3.0,1.0,3.0,11.85,10.83,9.0,2.0,4.0,7.0,4.5445,3.7767,3.24,3.24,7.3055,26.21,5.0
4.12,25.42,1.16,26.97,1.71,28.78,0.87,25.17,1.21,18.28,5.15,25.82,0.97,21.12,2.91,14.7,0.72,22.74,3.75,34.02,2.47,30.71,1.0,1.0,2.0,4.0,0.0,4.12,1.21,10.0,1.0,5.0,9.0,2.2764,1.4485,3.0433,2.47,2.0309,19.32,5.0
2.57,28.21,2.31,12.14,0.53,27.09,2.78,32.68,2.91,22.74,0.51,35.32,12.34,19.43,0.4,24.17,3.61,42.93,13.15,35.19,0.67,30.81,1.0,0.0,4.0,1.0,3.0,13.15,12.34,8.0,3.0,4.0,7.0,3.7982,4.3571,2.9433,2.31,9.3518,30.79,1.0
2.42,34.15,5.31,25.79,11.86,16.65,13.53,32.89,0.54,18.28,0.6,29.22,0.84,25.94,0.68,22.53,4.83,17.58,8.87,8.28,1.12,44.02,0.0,0.0,1.0,2.0,3.0,13.53,11.86,8.0,3.0,5.0,5.0,4.6,4.5736,4.1367,1.12,8.93,35.74,1.0
4.51,11.21,9.26,32.89,3.57,24.11,3.88,32.44,0.1,23.4,0.05,36.62,0.13,27.14,0.26,33.03,3.38,16.25,5.28,39.57,8.68,19.35,1.0,-1.0,2.0,3.0,2.0,9.26,8.68,8.0,3.0,4.0,6.0,3.5545,3.1572,4.39,3.38,5.7055,28.36,5.0
3.6,22.75,2.58,17.67,2.1,25.96,0.0,28.61,0.09,21.06,6.97,8.94,0.26,17.34,10.53,21.18,4.13,34.13,0.75,42.42,0.01,24.01,0.0,0.0,3.0,1.0,3.0,10.53,4.13,8.0,3.0,5.0,7.0,2.82,3.2151,3.86,0.75,7.71,33.48,2.0
1.46,28.1,5.45,25.23,1.28,31.19,4.34,33.42,3.45,22.28,6.33,45.45,1.13,23.39,7.81,19.23,14.73,34.94,1.14,35.97,4.32,29.27,2.0,-1.0,3.0,2.0,3.0,14.73,5.45,9.0,2.0,4.0,7.0,4.6764,3.8487,5.8633,3.45,10.0536,26.22,2.0
2.0,27.08,3.57,14.65,2.15,17.18,1.02,24.97,0.47,31.53,7.46,27.09,1.02,20.82,0.62,45.58,0.38,17.92,3.99,37.26,3.12,11.56,3.0,0.0,3.0,3.0,1.0,7.46,3.57,8.0,3.0,5.0,7.0,2.3455,2.0224,1.87,0.62,5.1145,34.02,0.0
6.65,36.85,4.18,18.79,2.23,31.01,8.0,14.57,0.95,25.32,15.74,28.53,5.05,22.32,4.58,25.69,0.81,19.6,0.67,28.45,0.56,22.57,0.0,-1.0,3.0,2.0,1.0,15.74,4.18,10.0,1.0,4.0,7.0,4.4927,4.3189,5.6267,2.23,11.2473,22.28,1.0
15.61,19.46,6.72,18.5,8.42,44.95,0.41,23.09,6.66,29.2,0.3,29.02,0.52,36.32,0.42,25.07,7.6,36.14,12.42,34.01,8.25,8.66,0.0,-1.0,4.0,4.0,3.0,15.61,12.42,7.0,4.0,4.0,4.0,6.1209,4.9795,7.7967,6.72,9.4891,36.29,4.0
6.03,45.02,13.07,37.5,2.99,32.32,4.73,25.02,0.95,35.36,0.45,22.37,0.48,26.45,0.49,32.94,0.93,29.84,8.36,10.01,12.12,21.41,0.0,-1.0,1.0,1.0,3.0,13.07,12.12,9.0,2.0,5.0,7.0,4.6,4.5223,7.195,6.03,8.47,35.01,4.0
0.46,33.92,0.65,24.65,11.77,30.3,8.6,19.55,6.47,12.23,1.23,20.63,1.13,28.75,1.96,26.55,0.66,22.51,1.79,30.06,5.99,36.41,1.0,1.0,3.0,3.0,3.0,11.77,8.6,10.0,1.0,5.0,7.0,3.7009,3.6986,4.5633,1.23,8.0691,24.18,2.0
0.67,26.62,0.6,29.68,13.53,34.27,5.12,29.49,5.33,6.75,0.99,22.41,11.88,15.71,4.9,37.54,0.81,17.4,2.95,45.34,0.55,18.5,3.0,-3.0,3.0,2.0,1.0,13.53,11.88,7.0,4.0,5.0,5.0,4.3027,4.3759,4.14,2.95,9.2273,38.59,4.0
2.94,37.34,5.39,26.41,0.57,31.07,4.38,42.19,0.52,27.86,0.45,34.67,5.09,17.09,2.12,22.03,14.85,23.38,0.36,25.22,5.04,31.01,1.0,3.0,3.0,2.0,3.0,14.85,2.94,9.0,2.0,4.0,6.0,3.7918,3.9997,3.8633,2.12,11.0582,25.1,1.0
7.99,8.15,0.37,33.37,0.22,23.96,0.4,35.25,13.08,20.18,5.03,34.23,0.63,29.15,13.08,34.76,4.63,24.55,8.39,38.9,7.49,15.97,3.0,1.0,4.0,3.0,3.0,13.08,5.03,9.0,2.0,4.0,5.0,5.5736,4.6541,9.2375,7.49,7.5064,30.75,4.0
0.38,35.59,7.22,37.07,0.75,28.84,0.32,33.17,3.12,32.1,7.32,15.07,14.58,22.11,4.02,17.38,7.63,40.75,3.34,26.49,0.25,23.83,0.0,1.0,2.0,1.0,3.0,14.58,7.22,8.0,3.0,4.0,6.0,4.4482,4.2295,6.3233,4.02,10.1318,25.68,2.0
0.68,35.1,0.55,32.17,13.2,38.19,1.06,28.57,14.08,21.76,4.92,36.28,4.99,15.45,6.34,26.67,0.72,25.34,2.02,46.47,2.47,7.82,3.0,1.0,4.0,1.0,3.0,14.08,13.2,8.0,3.0,4.0,5.0,4.6391,4.648,3.16,2.02,9.4409,38.65,1.0
0.8,19.19,14.68,25.77,0.74,25.69,3.94,26.1,3.61,29.19,9.86,14.38,0.59,28.93,0.97,17.91,7.63,34.1,0.65,23.46,3.8,22.1,1.0,2.0,3.0,1.0,3.0,14.68,0.97,10.0,1.0,5.0,8.0,4.2973,4.4077,7.0333,3.61,10.3827,19.72,2.0
5.04,25.91,12.81,26.65,0.92,28.98,0.4,36.42,5.08,32.21,0.69,23.93,5.69,10.02,0.92,31.75,4.96,29.22,2.99,18.39,2.91,36.78,1.0,-1.0,3.0,1.0,3.0,12.81,5.08,9.0,2.0,4.0,6.0,3.8555,3.418,3.8633,2.91,8.9545,26.76,2.0
0.54,35.49,6.13,34.57,4.24,30.75,5.74,14.31,0.75,25.12,15.51,26.22,1.02,17.24,3.81,37.53,0.59,29.01,3.75,27.66,0.61,32.21,0.0,1.0,3.0,1.0,3.0,15.51,6.13,9.0,2.0,5.0,7.0,3.8809,4.2058,3.5233,1.02,11.6291,23.22,0.0
1.48,27.84,0.48,26.61,7.59,11.33,0.86,42.7,0.33,23.25,0.13,20.1,17.01,25.91,1.5,34.88,3.15,18.67,0.62,33.86,0.55,28.97,0.0,1.0,2.0,2.0,3.0,17.01,1.5,9.0,2.0,8.0,8.0,3.0636,4.8603,3.8667,0.86,13.9464,31.37,0.0
