defender1_x,defender1_y,defender2_x,defender2_y,defender3_x,defender3_y,defender4_x,defender4_y,defender5_x,defender5_y,defender6_x,defender6_y,defender7_x,defender7_y,defender8_x,defender8_y,defender9_x,defender9_y,defender10_x,defender10_y,defender11_x,defender11_y,offensive_alignment,possessionTeamScoreDiff,quarter,down,yards_to_go,deepest_safety_depth,next_deepest_safety_depth,middle_field_count,outside_field_count,players_near_los,players_in_box,avg_defender_depth,std_defender_depth,avg_cb_depth,min_cb_depth,avg_safety_distance,lateral_spread,target_y
6.08,40.23,10.3,15.44,2.87,28.55,3.0,17.72,0.14,29.76,0.82,22.84,0.32,21.35,5.36,36.15,0.24,26.41,13.29,32.11,5.39,10.31,3.0,1.0,4.0,2.0,2.0,13.29,10.3,8.0,3.0,4.0,6.0,4.3464,4.1314,5.61,5.36,8.9436,29.92,4.0
1.38,14.86,1.31,18.37,0.36,25.84,0.35,19.63,7.87,37.95,3.64,25.02,4.04,22.21,3.49,28.25,0.62,29.17,0.32,22.55,15.17,31.03,2.0,-1.0,1.0,1.0,3.0,15.17,1.31,10.0,1.0,6.0,9.0,3.5045,4.2967,4.625,1.38,11.6655,23.09,2.0
0.59,26.83,0.47,36.21,0.41,43.87,3.85,18.77,16.56,24.06,2.6,34.15,1.05,31.94,0.96,30.53,0.61,24.02,12.73,38.04,3.76,23.33,0.0,1.0,4.0,3.0,2.0,16.56,12.73,9.0,2.0,6.0,7.0,3.9627,5.2432,2.6733,0.41,12.5973,25.1,0.0
0.39,24.26,6.63,38.42,0.47,29.33,3.93,34.9,5.69,29.45,3.48,22.2,3.64,43.55,0.43,34.55,17.01,23.82,0.85,11.47,0.32,32.13,0.0,0.0,4.0,2.0,3.0,17.01,6.63,9.0,2.0,5.0,6.0,3.8945,4.6809,2.6567,0.85,13.1155,32.08,3.0
0.64,28.44,4.7,31.66,2.12,9.4,0.79,31.44,0.44,24.62,4.58,35.17,4.17,39.16,0.52,35.53,16.1,23.35,4.79,26.8,3.72,19.93,0.0,0.0,2.0,1.0,3.0,16.1,4.58,10.0,1.0,4.0,9.0,3.87,4.2394,3.3367,2.12,12.23,29.76,2.0
4.5,28.24,7.1,29.82,1.01,26.89,0.35,35.12,1.97,25.29,0.73,24.66,2.95,20.06,0.83,30.76,4.25,32.33,1.88,23.91,1.31,37.71,1.0,-1.0,2.0,1.0,1.0,7.1,1.97,11.0,0.0,5.0,10.0,2.4436,1.9826,2.0467,1.31,4.6564,17.65,5.0
0.49,22.3,0.2,28.59,6.77,34.39,11.17,29.0,0.2,18.39,4.37,21.09,1.51,30.76,0.45,25.26,1.26,12.72,14.94,16.73,3.86,26.54,1.0,1.0,4.0,2.0,2.0,14.94,11.17,9.0,2.0,5.0,7.0,4.1109,4.7319,3.18,1.26,10.8291,21.67,3.0
0.45,31.85,3.39,32.1,0.36,29.37,7.65,9.96,0.54,36.81,12.86,19.58,7.94,35.68,2.18,18.88,3.3,27.15,0.86,44.07,0.41,24.17,0.0,1.0,4.0,2.0,1.0,12.86,7.94,7.0,4.0,5.0,6.0,3.6309,3.9381,3.5633,0.86,9.2291,34.11,4.0
5.03,27.41,3.02,31.78,2.79,14.8,1.06,22.83,0.98,25.72,0.75,28.68,2.98,25.15,1.37,19.46,3.31,22.5,5.2,20.54,2.76,29.87,2.0,-2.0,3.0,2.0,1.0,5.2,5.03,11.0,0.0,4.0,9.0,2.6591,1.4599,2.905,2.79,2.5409,16.98,5.0
0.28,22.92,3.8,16.23,8.55,23.92,0.37,25.78,1.35,28.71,2.91,18.05,0.18,20.22,1.6,39.25,14.58,36.45,0.39,32.4,1.25,18.88,1.0,-2.0,2.0,3.0,2.0,14.58,8.55,9.0,2.0,6.0,7.0,3.2055,4.2843,2.77,1.6,11.3745,23.02,5.0
13.05,20.42,5.89,34.04,0.32,21.37,4.65,21.44,14.33,34.78,0.49,17.47,0.59,27.04,5.54,27.96,8.69,11.48,0.47,30.03,5.17,43.28,1.0,0.0,4.0,2.0,3.0,14.33,13.05,7.0,4.0,4.0,5.0,5.3809,4.7417,6.5833,5.17,8.9491,31.8,3.0
5.51,31.38,13.03,23.78,1.09,30.84,0.83,26.94,7.57,34.81,3.71,12.23,0.71,24.24,5.16,25.11,2.28,38.35,8.1,40.82,0.92,35.87,1.0,0.0,1.0,2.0,3.0,13.03,7.57,9.0,2.0,4.0,5.0,4.4464,3.7465,4.6967,2.28,8.5836,28.59,3.0
1.36,27.95,11.55,25.94,1.29,18.73,7.57,20.63,5.18,24.89,6.4,17.88,1.74,22.37,5.06,31.62,1.32,25.37,4.92,28.0,1.46,31.66,0.0,0.0,2.0,2.0,2.0,11.55,7.57,11.0,0.0,4.0,6.0,4.35,3.1706,6.4,6.4,7.2,13.78,2.0
8.1,15.98,9.02,32.13,3.37,23.12,7.6,38.47,0.43,30.88,11.84,22.7,0.55,27.78,4.07,31.89,4.68,26.81,0.42,34.47,0.6,25.35,1.0,1.0,1.0,1.0,3.0,11.84,9.02,10.0,1.0,4.0,7.0,4.6073,3.8408,6.3567,3.37,7.2327,22.49,4.0
0.82,36.89,0.27,32.69,0.31,29.39,4.19,34.34,4.96,30.46,3.97,26.23,11.55,36.24,0.44,25.25,15.35,23.73,8.5,39.92,2.71,20.14,1.0,0.0,2.0,1.0,3.0,15.35,11.55,11.0,0.0,4.0,8.0,4.8245,4.7819,5.06,2.71,10.5255,19.78,4.0
6.1,41.82,10.43,16.65,3.76,26.06,4.28,19.22,1.03,29.23,0.56,15.81,0.83,24.87,0.88,21.17,1.93,35.16,6.67,10.2,13.86,34.13,0.0,-1.0,4.0,2.0,1.0,13.86,10.43,7.0,4.0,4.0,6.0,4.5755,4.1705,4.9,1.93,9.2845,31.62,3.0
1.92,40.32,0.92,29.55,1.37,23.8,4.84,27.45,1.31,19.3,4.45,34.48,13.13,25.82,1.71,37.97,0.89,32.39,1.14,35.55,0.93,27.31,3.0,0.0,2.0,3.0,1.0,13.13,1.71,9.0,2.0,6.0,8.0,2.9645,3.4766,2.69,1.31,10.1655,21.02,0.0
12.07,29.8,9.58,23.0,0.62,17.68,0.47,8.1,0.28,25.91,0.08,20.59,1.62,23.45,1.23,15.68,0.18,29.44,0.38,34.35,6.66,43.45,0.0,1.0,2.0,2.0,0.0,12.07,9.58,8.0,3.0,7.0,6.0,3.0155,4.1209,2.5033,0.38,9.0545,35.35,0.0
0.8,26.9,7.15,42.43,11.48,31.66,0.95,21.88,4.72,23.58,3.66,17.2,0.44,29.66,1.77,8.51,13.98,20.08,0.78,17.92,3.94,28.35,1.0,1.0,2.0,2.0,3.0,13.98,11.48,9.0,2.0,4.0,7.0,4.5155,4.3771,4.1933,1.77,9.4645,33.92,4.0
5.4,28.76,12.67,23.15,1.2,32.52,0.72,24.35,7.18,36.09,0.86,36.44,3.41,9.86,1.39,28.85,4.95,32.64,2.02,22.05,3.33,45.36,0.0,-1.0,1.0,2.0,2.0,12.67,7.18,9.0,2.0,4.0,6.0,3.9209,3.412,2.92,2.02,8.7491,35.5,4.0
3.89,27.07,7.23,30.58,0.79,25.64,1.13,20.38,13.55,21.42,0.78,18.75,0.79,22.57,7.66,34.42,0.98,27.63,1.07,31.69,7.44,10.6,1.0,1.0,1.0,2.0,2.0,13.55,7.23,9.0,2.0,6.0,7.0,4.1191,4.0859,7.55,7.44,9.4309,23.82,2.0
0.63,28.82,0.39,26.24,9.5,15.09,0.79,22.99,13.11,31.63,2.07,43.01,5.0,19.97,5.64,32.28,4.51,25.02,0.68,20.64,0.74,15.82,0.0,0.0,1.0,1.0,3.0,13.11,9.5,10.0,1.0,5.0,7.0,3.9145,4.0134,2.8167,0.74,9.1955,27.92,4.0
16.47,33.89,5.77,36.13,9.07,39.58,0.78,18.08,3.35,17.69,0.83,24.92,0.95,31.15,1.22,28.75,7.02,33.66,15.22,20.2,8.19,12.27,3.0,0.0,2.0,3.0,3.0,16.47,15.22,8.0,3.0,4.0,5.0,6.2609,5.3813,7.6767,5.77,10.2091,27.31,2.0
12.43,33.55,6.15,18.14,9.35,14.1,1.61,36.97,1.23,27.37,5.34,23.91,1.38,29.85,1.39,24.49,1.1,32.84,12.67,21.47,8.55,38.7,1.0,0.0,3.0,1.0,3.0,12.67,12.43,9.0,2.0,4.0,5.0,5.5636,4.3751,8.0167,6.15,7.1064,24.6,4.0
0.58,24.3,20.01,37.42,20.71,30.76,0.6,35.1,10.51,44.26,11.13,23.04,11.45,34.84,20.34,18.64,10.86,14.74,1.25,27.48,9.5,29.42,1.0,-1.0,4.0,1.0,3.0,20.34,20.01,8.0,3.0,3.0,3.0,10.6309,7.2346,10.8333,10.51,9.7764,29.52,2.0
8.19,20.9,0.79,20.93,7.92,38.33,1.44,29.77,7.29,43.69,0.68,16.73,11.62,33.18,6.53,16.65,0.96,26.93,1.64,23.25,0.9,31.04,1.0,2.0,3.0,2.0,3.0,11.62,8.19,9.0,2.0,5.0,6.0,4.36,3.803,7.2467,6.53,7.26,27.04,2.0
3.54,37.24,0.79,22.17,4.94,21.93,0.63,18.32,3.01,17.41,1.36,35.37,3.23,26.8,13.84,29.74,1.26,19.37,0.79,25.2,0.82,29.02,0.0,0.0,1.0,2.0,1.0,13.84,1.26,9.0,2.0,6.0,8.0,3.11,3.6598,2.6367,1.36,10.73,19.83,0.0
1.03,27.46,0.68,24.85,4.57,25.06,6.1,17.16,11.25,21.81,11.27,34.71,4.39,31.51,1.52,41.88,0.82,13.62,0.7,30.96,0.51,35.83,1.0,-2.0,4.0,1.0,3.0,11.27,11.25,8.0,3.0,5.0,6.0,3.8945,3.9238,3.46,0.82,7.3755,28.26,5.0
3.04,12.39,5.4,18.33,0.31,26.84,0.59,23.19,0.32,29.21,2.51,36.24,4.26,27.84,3.72,21.41,1.82,42.83,0.34,18.66,8.66,32.8,1.0,-1.0,2.0,2.0,2.0,8.66,5.4,8.0,3.0,4.0,6.0,2.8155,2.4948,2.4567,1.82,5.8445,30.44,5.0
8.56,9.29,13.1,17.43,4.51,33.83,9.14,42.32,0.33,29.22,16.06,29.52,0.75,22.02,0.94,18.11,6.08,16.65,6.35,26.47,0.74,26.56,0.0,1.0,4.0,1.0,3.0,16.06,13.1,8.0,3.0,4.0,4.0,6.0509,5.0752,7.0725,4.51,10.0091,33.03,2.0
6.34,44.43,13.03,36.11,4.19,25.06,3.98,34.4,0.53,36.99,0.24,23.8,0.55,31.91,7.51,16.21,6.7,10.61,0.88,29.0,14.3,20.4,3.0,1.0,4.0,1.0,3.0,14.3,13.03,8.0,3.0,4.0,6.0,5.2955,4.6915,6.85,6.34,9.0045,33.82,4.0
4.71,26.81,14.06,25.19,5.13,33.67,0.8,21.05,0.32,30.26,4.12,18.78,0.68,17.49,5.67,43.69,0.66,24.94,5.18,22.99,4.24,14.34,0.0,0.0,1.0,2.0,3.0,14.06,4.12,10.0,1.0,4.0,7.0,4.1427,3.7292,4.955,4.24,9.9173,29.35,2.0
0.13,18.26,0.65,29.87,17.46,32.26,5.72,19.17,7.02,7.16,0.59,20.69,1.15,24.89,13.71,15.56,3.56,33.78,3.08,26.87,4.83,43.51,0.0,-1.0,2.0,2.0,1.0,17.46,13.71,8.0,3.0,4.0,5.0,5.2636,5.3737,5.925,4.83,12.1964,36.35,5.0
0.78,28.66,4.35,46.49,1.17,23.0,0.38,31.99,1.5,37.88,10.79,30.42,5.53,23.45,6.52,29.31,0.81,26.41,0.85,34.74,3.36,12.21,3.0,-1.0,2.0,2.0,2.0,10.79,5.53,9.0,2.0,6.0,6.0,3.2764,3.1246,4.01,1.5,7.5136,34.28,0.0
0.41,28.45,0.33,17.98,0.32,21.23,10.34,29.98,9.45,18.64,0.75,24.62,5.66,37.94,2.97,28.42,3.39,13.03,4.01,24.72,3.35,21.39,0.0,-1.0,3.0,2.0,2.0,10.34,9.45,9.0,2.0,4.0,7.0,3.7255,3.3594,4.525,3.39,6.6145,24.91,4.0
0.47,28.66,0.7,17.87,0.71,31.6,4.03,23.46,3.95,20.68,3.33,28.06,13.03,30.46,0.55,24.69,0.68,21.44,1.52,15.73,11.62,19.98,0.0,0.0,1.0,1.0,3.0,13.03,11.62,11.0,0.0,5.0,9.0,3.69,4.2879,1.8533,0.71,9.34,15.87,1.0
0.57,29.04,0.47,31.46,14.72,23.92,5.32,29.8,4.03,32.83,1.04,38.11,2.17,9.53,3.02,21.08,6.96,35.45,0.6,33.78,0.52,24.31,0.0,0.0,1.0,1.0,3.0,14.72,6.96,10.0,1.0,5.0,7.0,3.5836,4.0953,2.0767,1.04,11.1364,28.58,1.0
1.34,29.69,16.57,32.14,3.57,16.98,0.02,20.27,10.83,20.95,0.89,25.96,5.67,8.13,0.73,24.42,0.24,32.92,2.0,37.42,4.88,42.1,3.0,-1.0,4.0,3.0,3.0,16.57,10.83,8.0,3.0,5.0,6.0,4.2491,4.9464,4.1833,2.0,12.3209,33.97,2.0
0.68,33.03,17.21,35.19,6.91,9.4,0.75,25.52,0.46,29.86,5.62,31.16,5.26,43.16,0.09,21.34,4.89,20.5,16.04,18.92,5.61,25.84,0.0,-2.0,4.0,1.0,3.0,17.21,16.04,9.0,2.0,4.0,5.0,5.7745,5.6431,5.6867,4.89,11.4355,33.76,4.0
5.03,29.7,0.57,27.68,5.73,39.53,0.61,30.41,0.42,19.12,9.85,44.39,11.6,15.49,0.27,23.46,2.45,16.56,13.07,33.98,7.77,10.02,3.0,1.0,3.0,1.0,3.0,13.07,11.6,8.0,3.0,4.0,5.0,5.2155,4.5592,7.7833,5.73,7.8545,34.37,4.0
14.98,31.83,0.2,25.2,0.24,29.48,4.11,27.17,8.41,8.98,8.06,44.29,4.88,23.03,0.23,21.29,4.14,33.69,7.28,17.34,0.13,17.08,0.0,1.0,4.0,1.0,3.0,14.98,7.28,9.0,2.0,4.0,7.0,4.7873,4.462,6.87,4.14,10.1927,35.31,2.0
1.08,16.88,11.06,30.97,3.98,26.94,8.14,21.58,0.65,24.64,4.14,22.84,0.9,43.78,4.1,19.49,3.55,15.52,0.4,28.9,0.69,20.38,0.0,-1.0,3.0,2.0,2.0,11.06,8.14,10.0,1.0,5.0,8.0,3.5173,3.2742,2.225,0.9,7.5427,28.26,0.0
1.07,24.74,5.75,38.88,1.01,30.89,0.93,27.25,7.32,24.99,1.35,42.21,0.17,35.96,3.44,21.36,0.78,17.38,3.82,32.16,1.64,10.22,1.0,-1.0,4.0,2.0,1.0,7.32,5.75,8.0,3.0,6.0,6.0,2.48,2.2073,1.2567,0.78,4.84,31.99,5.0
0.59,25.37,13.2,33.89,0.53,20.95,5.19,23.2,5.63,37.17,6.42,43.99,0.46,17.46,1.45,11.6,13.85,17.02,0.55,30.02,3.55,28.59,1.0,1.0,2.0,2.0,3.0,13.85,13.2,7.0,4.0,5.0,5.0,4.6745,4.6845,4.5,1.45,9.1755,32.39,3.0
5.16,33.37,1.04,24.6,10.48,37.5,1.01,32.7,2.19,14.23,4.73,29.08,2.25,44.27,11.93,19.68,4.16,16.76,1.07,35.64,1.23,29.0,3.0,-2.0,3.0,3.0,3.0,11.93,10.48,7.0,4.0,4.0,5.0,4.1136,3.6548,2.22,2.19,7.8164,30.04,1.0
0.37,23.67,14.61,23.91,0.34,11.0,0.71,28.92,3.34,35.18,0.34,32.48,0.4,30.58,2.29,18.55,0.64,40.1,0.36,36.73,0.16,26.91,0.0,-2.0,4.0,3.0,1.0,14.61,3.34,8.0,3.0,8.0,7.0,2.1418,4.0563,1.09,0.34,12.4682,29.1,0.0
3.54,32.69,8.54,33.43,3.64,28.52,1.06,24.16,0.82,27.47,0.63,30.37,0.56,34.85,1.52,43.15,2.58,20.41,0.7,22.59,1.03,25.24,1.0,1.0,2.0,2.0,2.0,8.54,0.7,10.0,1.0,6.0,9.0,2.2382,2.269,2.05,1.52,6.3018,22.74,0.0
5.85,9.57,5.55,23.19,0.13,32.05,0.26,34.48,0.39,29.16,2.74,39.8,4.7,30.71,4.15,27.18,1.25,36.12,0.35,25.85,15.18,31.34,0.0,1.0,3.0,1.0,3.0,15.18,5.55,10.0,1.0,5.0,8.0,3.6864,4.2073,4.295,2.74,11.4936,30.23,2.0
2.03,38.38,0.58,32.66,5.66,27.71,0.74,22.89,0.6,29.66,6.58,19.05,4.14,31.15,11.44,34.58,11.31,21.35,0.76,26.62,0.67,36.39,1.0,0.0,1.0,1.0,3.0,11.44,11.31,10.0,1.0,5.0,7.0,4.0464,4.0176,4.305,2.03,7.3936,19.33,1.0
14.18,30.12,0.28,26.3,6.68,19.55,0.68,30.76,1.15,19.85,5.02,16.34,0.22,20.67,5.75,28.38,0.07,16.22,3.73,37.35,0.65,43.32,4.0,-1.0,3.0,3.0,3.0,14.18,6.68,9.0,2.0,6.0,5.0,3.4918,4.113,3.1333,0.65,10.6882,27.1,2.0
1.4,35.16,21.28,21.54,1.35,29.78,1.3,36.83,11.78,33.1,0.74,9.3,0.85,24.14,6.04,19.98,2.36,38.66,7.18,29.11,4.07,21.59,1.0,1.0,3.0,3.0,2.0,21.28,11.78,10.0,1.0,5.0,6.0,5.3045,6.0227,3.6167,0.74,15.9755,29.36,0.0
0.46,28.87,0.38,25.28,3.78,30.48,0.49,8.13,0.6,43.31,3.45,25.71,1.48,31.99,0.43,30.59,0.31,23.0,0.9,34.38,7.45,33.18,0.0,-1.0,4.0,3.0,0.0,3.45,0.31,9.0,2.0,8.0,8.0,1.7936,2.1435,2.8467,0.49,2.4436,35.18,2.0
0.24,24.09,13.4,21.63,12.48,36.73,4.5,36.43,2.28,45.17,5.95,27.79,0.38,35.57,0.47,28.27,0.65,32.14,3.61,20.09,3.09,9.52,0.0,1.0,4.0,1.0,3.0,13.4,12.48,9.0,2.0,4.0,6.0,4.2773,4.4552,2.9933,2.28,9.1227,35.65,3.0
6.52,11.27,4.38,21.44,4.49,24.79,0.74,19.89,0.36,25.95,1.79,16.14,0.75,22.95,0.46,29.04,4.5,33.62,7.27,39.44,17.18,24.81,0.0,0.0,1.0,1.0,3.0,17.18,4.5,9.0,2.0,4.0,8.0,4.4036,4.6851,6.895,6.52,12.7764,28.17,2.0
3.6,24.03,0.65,25.93,0.36,21.09,9.67,24.3,7.18,11.79,4.26,30.36,9.02,45.44,9.11,35.72,0.83,32.49,3.46,38.59,0.48,29.72,1.0,-1.0,3.0,2.0,3.0,9.67,9.11,8.0,3.0,4.0,6.0,4.42,3.5556,8.1,7.18,5.25,33.65,5.0
1.62,26.65,8.35,17.7,1.21,25.2,13.27,29.12,3.25,39.32,0.86,29.0,1.47,21.16,1.15,16.56,1.04,22.94,7.01,34.27,9.85,11.26,0.0,1.0,3.0,3.0,3.0,13.27,8.35,8.0,3.0,5.0,6.0,4.4618,4.1882,6.55,3.25,8.8082,28.06,1.0
0.26,21.49,0.99,41.31,2.12,15.96,0.25,25.98,3.77,20.93,0.62,18.37,0.5,23.82,1.15,33.08,12.52,26.94,0.24,29.34,3.83,24.29,0.0,2.0,2.0,3.0,0.0,12.52,2.12,10.0,1.0,7.0,9.0,2.3864,3.4458,1.07,0.99,10.1336,25.35,0.0
11.7,18.48,1.11,22.55,6.01,30.32,6.6,37.05,0.73,25.9,0.74,18.06,3.49,21.15,4.82,27.23,1.63,9.33,15.39,31.95,0.8,31.13,1.0,1.0,3.0,2.0,2.0,15.39,11.7,9.0,2.0,4.0,6.0,4.82,4.6602,4.7467,1.63,10.57,27.72,2.0
2.8,29.27,10.28,19.79,0.5,29.27,0.86,26.89,1.14,23.27,6.93,39.11,3.82,21.21,4.16,14.27,11.01,30.09,4.88,34.62,0.95,18.19,1.0,0.0,1.0,2.0,1.0,11.01,10.28,9.0,2.0,4.0,7.0,4.3027,3.5422,5.545,4.16,6.7073,24.84,4.0
0.87,30.55,6.09,44.15,4.46,21.1,1.03,28.05,1.0,26.02,10.88,30.55,3.76,37.63,3.45,31.51,0.63,24.87,0.77,34.44,4.19,25.8,0.0,0.0,4.0,1.0,3.0,10.88,4.19,10.0,1.0,5.0,9.0,3.3755,2.9761,4.77,3.76,7.5045,23.05,0.0
0.55,36.81,9.58,11.21,7.43,41.02,3.48,21.47,7.56,20.04,3.69,34.6,13.76,33.07,4.47,30.08,0.58,32.79,0.47,26.98,0.83,30.08,0.0,1.0,3.0,1.0,3.0,13.76,3.69,9.0,2.0,4.0,7.0,4.7636,4.1682,8.19,7.43,8.9964,29.81,4.0
1.86,31.03,4.78,45.63,0.33,22.56,3.15,36.38,2.81,13.75,17.96,29.76,8.27,8.74,0.74,18.69,5.57,23.55,0.74,28.54,0.63,25.59,3.0,2.0,3.0,1.0,3.0,17.96,2.81,7.0,4.0,4.0,5.0,4.2582,4.9383,6.525,4.78,13.7018,36.89,2.0
0.87,22.85,3.95,23.12,1.42,8.99,1.09,25.26,4.09,30.16,1.02,18.48,1.03,33.11,14.72,29.01,0.85,28.58,1.49,44.06,11.58,19.65,1.0,0.0,2.0,4.0,1.0,14.72,11.58,9.0,2.0,7.0,7.0,3.8282,4.5816,1.31,1.02,10.8918,35.07,1.0
0.85,29.21,1.42,22.07,4.99,44.17,1.05,14.58,14.01,20.1,10.3,36.2,4.62,21.5,3.66,31.61,0.93,18.16,4.23,36.16,0.97,24.78,1.0,-2.0,1.0,1.0,3.0,14.01,10.3,8.0,3.0,5.0,7.0,4.2755,4.0952,3.02,1.05,9.7345,29.59,2.0
0.92,22.25,1.57,24.4,0.75,32.89,0.81,26.93,2.18,31.56,0.06,16.34,13.26,34.94,0.96,20.92,0.67,36.21,12.49,21.48,1.17,43.45,1.0,0.0,1.0,3.0,2.0,13.26,12.49,9.0,2.0,7.0,7.0,3.1673,4.6074,0.73,0.06,10.0927,27.11,0.0
0.21,18.65,0.31,28.72,14.5,23.42,4.78,24.77,7.86,13.98,0.81,25.97,3.67,31.83,4.54,28.41,0.58,22.38,5.88,35.74,4.1,21.25,1.0,0.0,1.0,1.0,3.0,14.5,4.54,10.0,1.0,4.0,8.0,4.2945,4.0295,6.87,5.88,10.2055,21.76,2.0
14.15,25.04,1.9,15.72,1.53,35.78,1.03,46.08,0.66,20.26,0.92,24.5,1.89,22.66,1.07,28.03,3.73,28.5,0.82,30.67,5.16,31.77,1.0,-1.0,3.0,3.0,1.0,14.15,1.9,9.0,2.0,5.0,7.0,2.9873,3.7693,2.5733,1.03,11.1627,30.36,0.0
0.89,18.41,13.19,22.67,3.95,19.95,0.99,24.75,0.84,22.21,7.57,35.5,0.65,27.9,12.16,30.72,3.89,26.43,1.97,30.57,1.94,15.03,1.0,1.0,4.0,1.0,3.0,13.19,12.16,10.0,1.0,4.0,8.0,4.3673,4.3758,3.8267,1.94,8.8227,20.47,4.0
6.77,44.63,11.5,38.59,3.16,26.42,5.46,33.99,2.79,33.35,1.56,31.27,1.17,33.16,4.11,17.89,8.41,9.28,1.47,23.16,15.86,21.09,0.0,-2.0,4.0,3.0,2.0,15.86,11.5,7.0,4.0,2.0,5.0,5.66,4.4558,6.43,4.11,10.2,35.35,1.0
0.86,29.5,3.45,15.0,0.81,22.69,0.86,25.84,4.02,21.04,3.14,35.8,5.62,42.22,0.96,17.88,9.01,25.5,3.63,10.55,3.7,25.83,0.0,-2.0,4.0,3.0,2.0,9.01,3.45,8.0,3.0,4.0,7.0,3.2782,2.3817,4.13,3.14,5.7318,31.67,0.0
