defender1_x,defender1_y,defender2_x,defender2_y,defender3_x,defender3_y,defender4_x,defender4_y,defender5_x,defender5_y,defender6_x,defender6_y,defender7_x,defender7_y,defender8_x,defender8_y,defender9_x,defender9_y,defender10_x,defender10_y,defender11_x,defender11_y,deepest_safety_depth,next_deepest_safety_depth,middle_field_count,outside_field_count,players_near_los,players_in_box,avg_defender_depth,std_defender_depth,avg_cb_depth,min_cb_depth,target_y
5.4,28.76,12.67,23.15,1.2,32.52,0.72,24.35,7.18,36.09,0.86,36.44,3.41,9.86,1.39,28.85,4.95,32.64,2.02,22.05,3.33,45.36,12.67,7.18,9.0,2.0,4.0,6.0,3.9209,3.412,2.92,2.02,4.0
3.89,27.07,7.23,30.58,0.79,25.64,1.13,20.38,13.55,21.42,0.78,18.75,0.79,22.57,7.66,34.42,0.98,27.63,1.07,31.69,7.44,10.6,13.55,7.23,9.0,2.0,6.0,7.0,4.1191,4.0859,7.55,7.44,2.0
0.63,28.82,0.39,26.24,9.5,15.09,0.79,22.99,13.11,31.63,2.07,43.01,5.0,19.97,5.64,32.28,4.51,25.02,0.68,20.64,0.74,15.82,13.11,9.5,10.0,1.0,5.0,7.0,3.9145,4.0134,2.8167,0.74,4.0
16.47,33.89,5.77,36.13,9.07,39.58,0.78,18.08,3.35,17.69,0.83,24.92,0.95,31.15,1.22,28.75,7.02,33.66,15.22,20.2,8.19,12.27,16.47,15.22,8.0,3.0,4.0,5.0,6.2609,5.3813,7.6767,5.77,2.0
12.43,33.55,6.15,18.14,9.35,14.1,1.61,36.97,1.23,27.37,5.34,23.91,1.38,29.85,1.39,24.49,1.1,32.84,12.67,21.47,8.55,38.7,12.67,12.43,9.0,2.0,4.0,5.0,5.5636,4.3751,8.0167,6.15,4.0
0.58,24.3,20.01,37.42,20.71,30.76,0.6,35.1,10.51,44.26,11.13,23.04,11.45,34.84,20.34,18.64,10.86,14.74,1.25,27.48,9.5,29.42,20.34,20.01,8.0,3.0,3.0,3.0,10.6309,7.2346,10.8333,10.51,2.0
8.19,20.9,0.79,20.93,7.92,38.33,1.44,29.77,7.29,43.69,0.68,16.73,11.62,33.18,6.53,16.65,0.96,26.93,1.64,23.25,0.9,31.04,11.62,8.19,9.0,2.0,5.0,6.0,4.36,3.803,7.2467,6.53,2.0
3.54,37.24,0.79,22.17,4.94,21.93,0.63,18.32,3.01,17.41,1.36,35.37,3.23,26.8,13.84,29.74,1.26,19.37,0.79,25.2,0.82,29.02,13.84,1.26,9.0,2.0,6.0,8.0,3.11,3.6598,2.6367,1.36,0.0
1.03,27.46,0.68,24.85,4.57,25.06,6.1,17.16,11.25,21.81,11.27,34.71,4.39,31.51,1.52,41.88,0.82,13.62,0.7,30.96,0.51,35.83,11.27,11.25,8.0,3.0,5.0,6.0,3.8945,3.9238,3.46,0.82,10.0
3.04,12.39,5.4,18.33,0.31,26.84,0.59,23.19,0.32,29.21,2.51,36.24,4.26,27.84,3.72,21.41,1.82,42.83,0.34,18.66,8.66,32.8,8.66,5.4,8.0,3.0,4.0,6.0,2.8155,2.4948,2.4567,1.82,5.0
8.56,9.29,13.1,17.43,4.51,33.83,9.14,42.32,0.33,29.22,16.06,29.52,0.75,22.02,0.94,18.11,6.08,16.65,6.35,26.47,0.74,26.56,16.06,13.1,8.0,3.0,4.0,4.0,6.0509,5.0752,7.0725,4.51,2.0
6.34,44.43,13.03,36.11,4.19,25.06,3.98,34.4,0.53,36.99,0.24,23.8,0.55,31.91,7.51,16.21,6.7,10.61,0.88,29.0,14.3,20.4,14.3,13.03,8.0,3.0,4.0,6.0,5.2955,4.6915,6.85,6.34,4.0
4.71,26.81,14.06,25.19,5.13,33.67,0.8,21.05,0.32,30.26,4.12,18.78,0.68,17.49,5.67,43.69,0.66,24.94,5.18,22.99,4.24,14.34,14.06,4.12,10.0,1.0,4.0,7.0,4.1427,3.7292,4.955,4.24,2.0
0.13,18.26,0.65,29.87,17.46,32.26,5.72,19.17,7.02,7.16,0.59,20.69,1.15,24.89,13.71,15.56,3.56,33.78,3.08,26.87,4.83,43.51,17.46,13.71,8.0,3.0,4.0,5.0,5.2636,5.3737,5.925,4.83,7.0
0.78,28.66,4.35,46.49,1.17,23.0,0.38,31.99,1.5,37.88,10.79,30.42,5.53,23.45,6.52,29.31,0.81,26.41,0.85,34.74,3.36,12.21,10.79,5.53,9.0,2.0,6.0,6.0,3.2764,3.1246,4.01,1.5,0.0
0.41,28.45,0.33,17.98,0.32,21.23,10.34,29.98,9.45,18.64,0.75,24.62,5.66,37.94,2.97,28.42,3.39,13.03,4.01,24.72,3.35,21.39,10.34,9.45,9.0,2.0,4.0,7.0,3.7255,3.3594,4.525,3.39,4.0
0.47,28.66,0.7,17.87,0.71,31.6,4.03,23.46,3.95,20.68,3.33,28.06,13.03,30.46,0.55,24.69,0.68,21.44,1.52,15.73,11.62,19.98,13.03,11.62,11.0,0.0,5.0,9.0,3.69,4.2879,1.8533,0.71,1.0
0.57,29.04,0.47,31.46,14.72,23.92,5.32,29.8,4.03,32.83,1.04,38.11,2.17,9.53,3.02,21.08,6.96,35.45,0.6,33.78,0.52,24.31,14.72,6.96,10.0,1.0,5.0,7.0,3.5836,4.0953,2.0767,1.04,1.0
1.34,29.69,16.57,32.14,3.57,16.98,0.02,20.27,10.83,20.95,0.89,25.96,5.67,8.13,0.73,24.42,0.24,32.92,2.0,37.42,4.88,42.1,16.57,10.83,8.0,3.0,5.0,6.0,4.2491,4.9464,4.1833,2.0,2.0
0.68,33.03,17.21,35.19,6.91,9.4,0.75,25.52,0.46,29.86,5.62,31.16,5.26,43.16,0.09,21.34,4.89,20.5,16.04,18.92,5.61,25.84,17.21,16.04,9.0,2.0,4.0,5.0,5.7745,5.6431,5.6867,4.89,4.0
5.03,29.7,0.57,27.68,5.73,39.53,0.61,30.41,0.42,19.12,9.85,44.39,11.6,15.49,0.27,23.46,2.45,16.56,13.07,33.98,7.77,10.02,13.07,11.6,8.0,3.0,4.0,5.0,5.2155,4.5592,7.7833,5.73,4.0
14.98,31.83,0.2,25.2,0.24,29.48,4.11,27.17,8.41,8.98,8.06,44.29,4.88,23.03,0.23,21.29,4.14,33.69,7.28,17.34,0.13,17.08,14.98,7.28,9.0,2.0,4.0,7.0,4.7873,4.462,6.87,4.14,2.0
1.08,16.88,11.06,30.97,3.98,26.94,8.14,21.58,0.65,24.64,4.14,22.84,0.9,43.78,4.1,19.49,3.55,15.52,0.4,28.9,0.69,20.38,11.06,8.14,10.0,1.0,5.0,8.0,3.5173,3.2742,2.225,0.9,0.0
1.07,24.74,5.75,38.88,1.01,30.89,0.93,27.25,7.32,24.99,1.35,42.21,0.17,35.96,3.44,21.36,0.78,17.38,3.82,32.16,1.64,10.22,7.32,5.75,8.0,3.0,6.0,6.0,2.48,2.2073,1.2567,0.78,6.0
0.59,25.37,13.2,33.89,0.53,20.95,5.19,23.2,5.63,37.17,6.42,43.99,0.46,17.46,1.45,11.6,13.85,17.02,0.55,30.02,3.55,28.59,13.85,13.2,7.0,4.0,5.0,5.0,4.6745,4.6845,4.5,1.45,3.0
5.16,33.37,1.04,24.6,10.48,37.5,1.01,32.7,2.19,14.23,4.73,29.08,2.25,44.27,11.93,19.68,4.16,16.76,1.07,35.64,1.23,29.0,11.93,10.48,7.0,4.0,4.0,5.0,4.1136,3.6548,2.22,2.19,1.0
0.37,23.67,14.61,23.91,0.34,11.0,0.71,28.92,3.34,35.18,0.34,32.48,0.4,30.58,2.29,18.55,0.64,40.1,0.36,36.73,0.16,26.91,14.61,3.34,8.0,3.0,8.0,7.0,2.1418,4.0563,1.09,0.34,0.0
3.54,32.69,8.54,33.43,3.64,28.52,1.06,24.16,0.82,27.47,0.63,30.37,0.56,34.85,1.52,43.15,2.58,20.41,0.7,22.59,1.03,25.24,8.54,0.7,10.0,1.0,6.0,9.0,2.2382,2.269,2.05,1.52,0.0
5.85,9.57,5.55,23.19,0.13,32.05,0.26,34.48,0.39,29.16,2.74,39.8,4.7,30.71,4.15,27.18,1.25,36.12,0.35,25.85,15.18,31.34,15.18,5.55,10.0,1.0,5.0,8.0,3.6864,4.2073,4.295,2.74,2.0
2.03,38.38,0.58,32.66,5.66,27.71,0.74,22.89,0.6,29.66,6.58,19.05,4.14,31.15,11.44,34.58,11.31,21.35,0.76,26.62,0.67,36.39,11.44,11.31,10.0,1.0,5.0,7.0,4.0464,4.0176,4.305,2.03,1.0
14.18,30.12,0.28,26.3,6.68,19.55,0.68,30.76,1.15,19.85,5.02,16.34,0.22,20.67,5.75,28.38,0.07,16.22,3.73,37.35,0.65,43.32,14.18,6.68,9.0,2.0,6.0,5.0,3.4918,4.113,3.1333,0.65,2.0
1.4,35.16,21.28,21.54,1.35,29.78,1.3,36.83,11.78,33.1,0.74,9.3,0.85,24.14,6.04,19.98,2.36,38.66,7.18,29.11,4.07,21.59,21.28,11.78,10.0,1.0,5.0,6.0,5.3045,6.0227,3.6167,0.74,0.0
0.46,28.87,0.38,25.28,3.78,30.48,0.49,8.13,0.6,43.31,3.45,25.71,1.48,31.99,0.43,30.59,0.31,23.0,0.9,34.38,7.45,33.18,3.45,0.31,9.0,2.0,8.0,8.0,1.7936,2.1435,2.8467,0.49,2.0
0.24,24.09,13.4,21.63,12.48,36.73,4.5,36.43,2.28,45.17,5.95,27.79,0.38,35.57,0.47,28.27,0.65,32.14,3.61,20.09,3.09,9.52,13.4,12.48,9.0,2.0,4.0,6.0,4.2773,4.4552,2.9933,2.28,3.0
6.52,11.27,4.38,21.44,4.49,24.79,0.74,19.89,0.36,25.95,1.79,16.14,0.75,22.95,0.46,29.04,4.5,33.62,7.27,39.44,17.18,24.81,17.18,4.5,9.0,2.0,4.0,8.0,4.4036,4.6851,6.895,6.52,2.0
3.6,24.03,0.65,25.93,0.36,21.09,9.67,24.3,7.18,11.79,4.26,30.36,9.02,45.44,9.11,35.72,0.83,32.49,3.46,38.59,0.48,29.72,9.67,9.11,8.0,3.0,4.0,6.0,4.42,3.5556,8.1,7.18,5.0
1.62,26.65,8.35,17.7,1.21,25.2,13.27,29.12,3.25,39.32,0.86,29.0,1.47,21.16,1.15,16.56,1.04,22.94,7.01,34.27,9.85,11.26,13.27,8.35,8.0,3.0,5.0,6.0,4.4618,4.1882,6.55,3.25,1.0
0.26,21.49,0.99,41.31,2.12,15.96,0.25,25.98,3.77,20.93,0.62,18.37,0.5,23.82,1.15,33.08,12.52,26.94,0.24,29.34,3.83,24.29,12.52,2.12,10.0,1.0,7.0,9.0,2.3864,3.4458,1.07,0.99,0.0
11.7,18.48,1.11,22.55,6.01,30.32,6.6,37.05,0.73,25.9,0.74,18.06,3.49,21.15,4.82,27.23,1.63,9.33,15.39,31.95,0.8,31.13,15.39,11.7,9.0,2.0,4.0,6.0,4.82,4.6602,4.7467,1.63,2.0
2.8,29.27,10.28,19.79,0.5,29.27,0.86,26.89,1.14,23.27,6.93,39.11,3.82,21.21,4.16,14.27,11.01,30.09,4.88,34.62,0.95,18.19,11.01,10.28,9.0,2.0,4.0,7.0,4.3027,3.5422,5.545,4.16,4.0
0.87,30.55,6.09,44.15,4.46,21.1,1.03,28.05,1.0,26.02,10.88,30.55,3.76,37.63,3.45,31.51,0.63,24.87,0.77,34.44,4.19,25.8,10.88,4.19,10.0,1.0,5.0,9.0,3.3755,2.9761,4.77,3.76,0.0
0.55,36.81,9.58,11.21,7.43,41.02,3.48,21.47,7.56,20.04,3.69,34.6,13.76,33.07,4.47,30.08,0.58,32.79,0.47,26.98,0.83,30.08,13.76,3.69,9.0,2.0,4.0,7.0,4.7636,4.1682,8.19,7.43,4.0
1.86,31.03,4.78,45.63,0.33,22.56,3.15,36.38,2.81,13.75,17.96,29.76,8.27,8.74,0.74,18.69,5.57,23.55,0.74,28.54,0.63,25.59,17.96,2.81,7.0,4.0,4.0,5.0,4.2582,4.9383,6.525,4.78,2.0
0.87,22.85,3.95,23.12,1.42,8.99,1.09,25.26,4.09,30.16,1.02,18.48,1.03,33.11,14.72,29.01,0.85,28.58,1.49,44.06,11.58,19.65,14.72,11.58,9.0,2.0,7.0,7.0,3.8282,4.5816,1.31,1.02,1.0
0.85,29.21,1.42,22.07,4.99,44.17,1.05,14.58,14.01,20.1,10.3,36.2,4.62,21.5,3.66,31.61,0.93,18.16,4.23,36.16,0.97,24.78,14.01,10.3,8.0,3.0,5.0,7.0,4.2755,4.0952,3.02,1.05,2.0
0.92,22.25,1.57,24.4,0.75,32.89,0.81,26.93,2.18,31.56,0.06,16.34,13.26,34.94,0.96,20.92,0.67,36.21,12.49,21.48,1.17,43.45,13.26,12.49,9.0,2.0,7.0,7.0,3.1673,4.6074,0.73,0.06,0.0
0.21,18.65,0.31,28.72,14.5,23.42,4.78,24.77,7.86,13.98,0.81,25.97,3.67,31.83,4.54,28.41,0.58,22.38,5.88,35.74,4.1,21.25,14.5,4.54,10.0,1.0,4.0,8.0,4.2945,4.0295,6.87,5.88,2.0
14.15,25.04,1.9,15.72,1.53,35.78,1.03,46.08,0.66,20.26,0.92,24.5,1.89,22.66,1.07,28.03,3.73,28.5,0.82,30.67,5.16,31.77,14.15,1.9,9.0,2.0,5.0,7.0,2.9873,3.7693,2.5733,1.03,0.0
0.89,18.41,13.19,22.67,3.95,19.95,0.99,24.75,0.84,22.21,7.57,35.5,0.65,27.9,12.16,30.72,3.89,26.43,1.97,30.57,1.94,15.03,13.19,12.16,10.0,1.0,4.0,8.0,4.3673,4.3758,3.8267,1.94,4.0
6.77,44.63,11.5,38.59,3.16,26.42,5.46,33.99,2.79,33.35,1.56,31.27,1.17,33.16,4.11,17.89,8.41,9.28,1.47,23.16,15.86,21.09,15.86,11.5,7.0,4.0,2.0,5.0,5.66,4.4558,6.43,4.11,1.0
0.86,29.5,3.45,15.0,0.81,22.69,0.86,25.84,4.02,21.04,3.14,35.8,5.62,42.22,0.96,17.88,9.01,25.5,3.63,10.55,3.7,25.83,9.01,3.45,8.0,3.0,4.0,7.0,3.2782,2.3817,4.13,3.14,0.0
0.73,17.93,19.4,27.52,3.87,27.93,0.43,22.01,0.51,25.23,4.5,18.9,0.01,29.25,0.67,42.84,1.2,18.5,2.86,21.39,0.88,36.61,19.4,1.2,9.0,2.0,7.0,8.0,3.1873,5.3229,2.0167,0.67,0.0
5.89,40.13,4.62,17.58,0.81,26.92,1.26,23.76,3.98,34.32,0.79,36.71,13.24,22.64,11.97,34.71,4.3,29.43,0.9,32.13,0.95,29.64,13.24,11.97,9.0,2.0,5.0,7.0,4.4282,4.2408,5.255,4.62,1.0
7.51,9.0,6.78,42.68,0.51,25.71,0.67,17.73,4.96,21.55,6.92,36.24,0.48,29.29,16.07,31.92,17.09,17.3,5.25,27.65,0.38,22.18,17.09,16.07,8.0,3.0,4.0,5.0,6.0564,5.6435,7.07,6.78,3.0
0.59,24.41,0.54,27.19,13.45,18.82,0.8,30.99,11.26,33.55,5.37,21.29,3.24,39.95,5.41,26.12,0.81,33.76,4.76,33.32,1.63,9.87,13.45,11.26,8.0,3.0,4.0,5.0,4.3509,4.2137,2.435,1.63,3.0
0.33,22.09,0.65,31.39,3.84,17.25,0.69,35.67,8.18,36.61,0.83,25.2,17.94,22.95,1.56,28.28,11.12,29.12,5.18,8.56,0.47,34.12,17.94,11.12,9.0,2.0,5.0,6.0,4.6173,5.4258,5.7333,3.84,1.0
4.13,31.04,0.55,36.88,4.26,36.79,0.6,29.34,3.87,26.93,7.67,44.34,13.97,27.22,4.18,18.46,0.0,24.7,0.52,32.64,8.02,9.54,13.97,4.26,8.0,3.0,4.0,7.0,4.3427,4.039,7.845,7.67,2.0
1.07,23.27,4.44,27.25,1.24,35.69,8.36,18.85,6.11,22.24,1.32,26.67,1.14,32.51,12.34,32.25,4.59,30.5,7.28,39.89,1.15,29.63,12.34,6.11,9.0,2.0,5.0,7.0,4.4582,3.5891,7.82,7.28,2.0
0.83,29.9,6.08,16.49,0.39,18.64,5.09,27.72,8.36,8.16,0.78,20.64,17.74,27.3,3.87,35.73,0.75,26.65,4.42,21.3,8.92,44.91,17.74,6.08,8.0,3.0,4.0,5.0,5.2027,4.9158,8.64,8.36,1.0
0.23,34.88,8.25,27.2,3.14,15.72,0.3,26.99,8.18,32.49,8.55,22.21,17.76,35.18,0.33,30.61,0.57,23.67,2.33,38.76,18.55,20.38,18.55,17.76,10.0,1.0,4.0,5.0,6.1991,6.4719,4.6733,2.33,1.0
0.03,34.95,1.01,41.98,2.48,31.53,0.15,29.92,0.25,27.23,0.34,32.14,0.6,11.92,0.14,24.22,0.15,36.76,3.99,18.75,17.9,27.93,17.9,0.15,8.0,3.0,8.0,7.0,2.4582,5.0239,1.8667,0.6,0.0
0.55,21.68,0.15,17.01,6.66,14.29,5.04,36.92,2.46,15.77,4.65,26.15,3.03,20.06,0.72,26.19,0.27,29.68,7.08,43.86,13.62,30.38,13.62,7.08,9.0,2.0,4.0,7.0,4.0209,3.8767,5.85,5.04,2.0
0.27,30.43,3.69,27.77,0.51,35.97,8.1,8.98,6.76,37.34,0.29,27.81,12.86,20.34,9.87,30.3,3.5,32.62,1.84,20.01,0.47,24.55,12.86,9.87,9.0,2.0,4.0,6.0,4.3782,4.1903,5.5667,1.84,4.0
0.76,32.13,0.99,34.48,4.57,34.21,7.87,11.09,0.89,28.49,1.79,19.12,11.93,18.98,11.0,34.66,7.29,41.99,4.65,30.7,0.54,24.08,11.93,11.0,7.0,4.0,4.0,6.0,4.7527,4.0259,5.65,1.79,3.0
14.52,29.66,0.79,23.31,6.29,42.73,6.45,17.77,4.86,28.12,0.79,32.17,0.75,29.82,1.06,35.13,3.48,36.24,1.42,21.17,0.81,27.32,14.52,3.48,9.0,2.0,6.0,8.0,3.7473,4.0325,4.72,1.42,2.0
0.47,23.0,0.77,27.15,2.74,31.39,3.42,18.3,19.8,25.84,2.97,28.69,5.89,44.63,0.39,35.63,0.23,32.52,5.28,38.23,0.95,9.72,19.8,5.28,8.0,3.0,5.0,6.0,3.9009,5.3697,3.42,0.95,1.0
7.05,7.53,12.03,16.37,3.14,35.3,1.04,43.02,0.44,29.67,17.52,29.25,0.44,21.52,0.64,19.0,5.16,25.19,4.99,20.89,0.33,24.95,17.52,12.03,8.0,3.0,5.0,5.0,4.7982,5.3215,3.7433,1.04,1.0
0.59,35.48,1.29,38.2,1.26,29.07,1.05,24.33,1.09,43.68,0.99,27.45,1.35,17.41,10.73,26.77,1.14,32.21,10.37,21.24,3.84,15.64,10.37,1.29,8.0,3.0,8.0,6.0,3.0636,3.6202,4.2525,1.09,10.0
15.07,25.25,2.7,23.24,0.73,29.86,13.89,37.78,0.44,35.44,1.47,37.72,0.49,24.3,1.28,31.86,1.13,8.92,14.26,12.96,0.72,19.01,15.07,14.26,8.0,3.0,7.0,6.0,4.7436,5.9522,1.5167,0.72,11.0
5.44,23.31,9.11,33.28,0.77,20.84,0.94,34.35,0.51,29.71,13.9,22.29,0.6,17.96,4.63,40.75,0.87,24.98,4.32,19.3,4.49,14.46,13.9,9.11,9.0,2.0,5.0,6.0,4.1436,4.0457,4.56,4.49,2.0
