defender1_x,defender1_y,defender2_x,defender2_y,defender3_x,defender3_y,defender4_x,defender4_y,defender5_x,defender5_y,defender6_x,defender6_y,defender7_x,defender7_y,defender8_x,defender8_y,defender9_x,defender9_y,defender10_x,defender10_y,defender11_x,defender11_y,receiver_alignment,offensive_formation,possessionTeamScoreDiff,quarter,down,yards_to_go,deepest_safety_depth,next_deepest_safety_depth,middle_field_count,outside_field_count,players_near_los,players_in_box,avg_defender_depth,std_defender_depth,avg_cb_depth,min_cb_depth,max_cb_depth,avg_defender_to_deepest_safety_depth,defender_lateral_spread,std_lb_depth,lb_lateral_spread,avg_lb_depth,min_lb_depth,max_lb_depth,std_db_depth,avg_db_depth,safety_lateral_spread,std_safety_depth,avg_safety_depth,safety_depth_diff,mof_open,man_zone,target_y
0.43,29.55,0.57,34.54,0.45,42.91,3.82,15.21,14.79,29.4,1.74,31.72,0.96,27.03,4.72,25.61,5.28,21.75,0.61,23.44,1.65,19.08,1.0,0.0,-1.0,3.0,3.0,2.0,14.79,5.28,8.0,3.0,5.0,6.0,3.1836,4.0425,1.9733,0.45,3.82,11.6064,27.7,1.7336,8.28,2.3567,0.61,4.72,5.0802,5.198,7.65,4.755,10.035,9.51,0.0,1.0,3.0
16.16,35.5,4.93,10.34,0.54,27.02,0.98,31.51,5.11,36.12,7.74,42.14,0.18,24.59,5.13,18.89,12.43,21.62,0.69,35.16,4.5,25.92,3.0,2.0,-3.0,4.0,2.0,0.0,16.16,12.43,8.0,3.0,4.0,5.0,5.3082,4.9023,5.9333,4.93,7.74,10.8518,31.8,0.0,0.0,4.5,4.5,4.5,4.2866,8.5833,14.5,4.5898,11.2333,3.73,1.0,1.0,4.0
6.08,40.23,10.3,15.44,2.87,28.55,3.0,17.72,0.14,29.76,0.82,22.84,0.32,21.35,5.36,36.15,0.24,26.41,13.29,32.11,5.39,10.31,3.0,2.0,1.0,4.0,2.0,2.0,13.29,10.3,8.0,3.0,4.0,6.0,4.3464,4.1314,5.61,5.36,6.08,8.9436,29.92,1.3186,12.04,2.0033,0.14,3.0,3.1846,8.084,16.67,1.495,11.795,2.99,1.0,1.0,4.0
1.38,14.86,1.31,18.37,0.36,25.84,0.35,19.63,7.87,37.95,3.64,25.02,4.04,22.21,3.49,28.25,0.62,29.17,0.32,22.55,15.17,31.03,2.0,3.0,-1.0,1.0,1.0,3.0,15.17,1.31,10.0,1.0,6.0,9.0,3.5045,4.2967,4.625,1.38,7.87,11.6655,23.09,0.2321,6.04,3.7233,3.49,4.04,5.7048,6.4325,12.66,6.93,8.24,13.86,0.0,1.0,2.0
0.59,26.83,0.47,36.21,0.41,43.87,3.85,18.77,16.56,24.06,2.6,34.15,1.05,31.94,0.96,30.53,0.61,24.02,12.73,38.04,3.76,23.33,0.0,0.0,1.0,4.0,3.0,2.0,16.56,12.73,9.0,2.0,6.0,7.0,3.9627,5.2432,2.6733,0.41,3.85,12.5973,25.1,0.2471,12.19,0.71,0.47,1.05,5.8695,6.6517,13.98,5.8894,10.63,3.83,1.0,0.0,0.0
0.39,24.26,6.63,38.42,0.47,29.33,3.93,34.9,5.69,29.45,3.48,22.2,3.64,43.55,0.43,34.55,17.01,23.82,0.85,11.47,0.32,32.13,0.0,0.0,0.0,4.0,2.0,3.0,17.01,6.63,9.0,2.0,5.0,6.0,3.8945,4.6809,2.6567,0.85,3.64,13.1155,32.08,2.2864,10.64,2.61,0.39,5.69,5.6487,6.322,14.6,5.19,11.82,10.38,0.0,1.0,3.0
0.64,28.44,4.7,31.66,2.12,9.4,0.79,31.44,0.44,24.62,4.58,35.17,4.17,39.16,0.52,35.53,16.1,23.35,4.79,26.8,3.72,19.93,0.0,1.0,0.0,2.0,1.0,3.0,16.1,4.58,10.0,1.0,4.0,9.0,3.87,4.2394,3.3367,2.12,4.17,12.23,29.76,0.045,4.86,4.745,4.7,4.79,5.0504,6.138,11.82,5.76,10.34,11.52,0.0,1.0,2.0
4.5,28.24,7.1,29.82,1.01,26.89,0.35,35.12,1.97,25.29,0.73,24.66,2.95,20.06,0.83,30.76,4.25,32.33,1.88,23.91,1.31,37.71,1.0,1.0,-1.0,2.0,1.0,1.0,7.1,1.97,11.0,0.0,5.0,10.0,2.4436,1.9826,2.0467,1.31,2.95,4.6564,17.65,0.125,4.09,4.375,4.25,4.5,2.0964,3.042,4.53,2.565,4.535,5.13,0.0,0.0,5.0
0.49,22.3,0.2,28.59,6.77,34.39,11.17,29.0,0.2,18.39,4.37,21.09,1.51,30.76,0.45,25.26,1.26,12.72,14.94,16.73,3.86,26.54,1.0,0.0,1.0,4.0,2.0,2.0,14.94,11.17,9.0,2.0,5.0,7.0,4.1109,4.7319,3.18,1.26,6.77,10.8291,21.67,1.8573,8.15,2.81,0.2,4.37,5.357,7.13,12.27,1.885,13.055,3.77,1.0,1.0,3.0
0.45,31.85,3.39,32.1,0.36,29.37,7.65,9.96,0.54,36.81,12.86,19.58,7.94,35.68,2.18,18.88,3.3,27.15,0.86,44.07,0.41,24.17,0.0,0.0,1.0,4.0,2.0,1.0,12.86,7.94,7.0,4.0,5.0,6.0,3.6309,3.9381,3.5633,0.86,7.65,9.2291,34.11,1.4361,12.64,1.91,0.41,3.39,4.3385,6.298,16.1,2.46,10.4,4.92,0.0,1.0,4.0
5.03,27.41,3.02,31.78,2.79,14.8,1.06,22.83,0.98,25.72,0.75,28.68,2.98,25.15,1.37,19.46,3.31,22.5,5.2,20.54,2.76,29.87,2.0,1.0,-2.0,3.0,2.0,1.0,5.2,5.03,11.0,0.0,4.0,9.0,2.6591,1.4599,2.905,2.79,3.02,2.5409,16.98,0.165,2.65,3.145,2.98,3.31,1.1113,3.76,9.33,1.1123,4.33,0.17,0.0,2.0,5.0
0.28,22.92,3.8,16.23,8.55,23.92,0.37,25.78,1.35,28.71,2.91,18.05,0.18,20.22,1.6,39.25,14.58,36.45,0.39,32.4,1.25,18.88,1.0,0.0,-2.0,2.0,3.0,2.0,14.58,8.55,9.0,2.0,6.0,7.0,3.2055,4.2843,2.77,1.6,3.8,11.3745,23.02,0.4899,13.52,0.708,0.18,1.35,4.7635,6.288,12.53,3.015,11.565,6.03,0.0,0.0,5.0
13.05,20.42,5.89,34.04,0.32,21.37,4.65,21.44,14.33,34.78,0.49,17.47,0.59,27.04,5.54,27.96,8.69,11.48,0.47,30.03,5.17,43.28,1.0,0.0,0.0,4.0,2.0,3.0,14.33,13.05,7.0,4.0,4.0,5.0,5.3809,4.7417,6.5833,5.17,8.69,8.9491,31.8,2.3289,12.56,2.7875,0.47,5.54,3.6971,9.426,14.36,0.64,13.69,1.28,1.0,1.0,3.0
5.51,31.38,13.03,23.78,1.09,30.84,0.83,26.94,7.57,34.81,3.71,12.23,0.71,24.24,5.16,25.11,2.28,38.35,8.1,40.82,0.92,35.87,1.0,0.0,0.0,1.0,2.0,3.0,13.03,7.57,9.0,2.0,4.0,5.0,4.4464,3.7465,4.6967,2.28,8.1,8.5836,28.59,2.0862,10.76,3.8633,0.92,5.51,3.7677,6.938,11.03,2.73,10.3,5.46,0.0,1.0,3.0
1.36,27.95,11.55,25.94,1.29,18.73,7.57,20.63,5.18,24.89,6.4,17.88,1.74,22.37,5.06,31.62,1.32,25.37,4.92,28.0,1.46,31.66,0.0,5.0,0.0,2.0,2.0,2.0,11.55,7.57,11.0,0.0,4.0,6.0,4.35,3.1706,6.4,6.4,6.4,7.2,13.78,1.8408,12.93,3.2125,1.29,5.18,2.4232,7.645,10.99,2.6721,8.06,3.98,0.0,1.0,2.0
8.1,15.98,9.02,32.13,3.37,23.12,7.6,38.47,0.43,30.88,11.84,22.7,0.55,27.78,4.07,31.89,4.68,26.81,0.42,34.47,0.6,25.35,1.0,1.0,1.0,1.0,1.0,3.0,11.84,9.02,10.0,1.0,4.0,7.0,4.6073,3.8408,6.3567,3.37,8.1,7.2327,22.49,0.305,5.08,4.375,4.07,4.68,2.7347,7.986,9.43,1.41,10.43,2.82,0.0,1.0,4.0
0.82,36.89,0.27,32.69,0.31,29.39,4.19,34.34,4.96,30.46,3.97,26.23,11.55,36.24,0.44,25.25,15.35,23.73,8.5,39.92,2.71,20.14,1.0,0.0,0.0,2.0,1.0,3.0,15.35,11.55,11.0,0.0,4.0,8.0,4.8245,4.7819,5.06,2.71,8.5,10.5255,19.78,1.9957,11.64,2.6025,0.44,4.96,4.6954,8.416,12.51,1.9,13.45,3.8,1.0,1.0,4.0
6.1,41.82,10.43,16.65,3.76,26.06,4.28,19.22,1.03,29.23,0.56,15.81,0.83,24.87,0.88,21.17,1.93,35.16,6.67,10.2,13.86,34.13,0.0,0.0,-1.0,4.0,2.0,1.0,13.86,10.43,7.0,4.0,4.0,6.0,4.5755,4.1705,4.9,1.93,6.67,9.2845,31.62,1.4254,10.01,3.0233,1.03,4.28,4.0562,7.798,17.48,1.715,12.145,3.43,1.0,1.0,3.0
1.92,40.32,0.92,29.55,1.37,23.8,4.84,27.45,1.31,19.3,4.45,34.48,13.13,25.82,1.71,37.97,0.89,32.39,1.14,35.55,0.93,27.31,3.0,2.0,0.0,2.0,3.0,1.0,13.13,1.71,9.0,2.0,6.0,8.0,2.9645,3.4766,2.69,1.31,4.84,10.1655,21.02,1.4388,11.75,1.9725,0.93,4.45,4.4537,4.582,12.15,5.71,7.42,11.42,0.0,0.0,0.0
12.07,29.8,9.58,23.0,0.62,17.68,0.47,8.1,0.28,25.91,0.08,20.59,1.62,23.45,1.23,15.68,0.18,29.44,0.38,34.35,6.66,43.45,0.0,0.0,1.0,2.0,2.0,0.0,12.07,9.58,8.0,3.0,7.0,6.0,3.0155,4.1209,2.5033,0.38,6.66,9.0545,35.35,0.6025,11.76,0.8067,0.18,1.62,4.6506,5.065,14.12,4.6359,7.6267,2.49,0.0,0.0,0.0
0.8,26.9,7.15,42.43,11.48,31.66,0.95,21.88,4.72,23.58,3.66,17.2,0.44,29.66,1.77,8.51,13.98,20.08,0.78,17.92,3.94,28.35,1.0,0.0,1.0,2.0,2.0,3.0,13.98,11.48,9.0,2.0,4.0,7.0,4.5155,4.3771,4.1933,1.77,7.15,9.4645,33.92,1.7916,11.74,2.166,0.44,4.72,4.5929,7.608,11.58,1.25,12.73,2.5,1.0,1.0,4.0
5.4,28.76,12.67,23.15,1.2,32.52,0.72,24.35,7.18,36.09,0.86,36.44,3.41,9.86,1.39,28.85,4.95,32.64,2.02,22.05,3.33,45.36,0.0,0.0,-1.0,1.0,2.0,2.0,12.67,7.18,9.0,2.0,4.0,6.0,3.9209,3.412,2.92,2.02,3.41,8.7491,35.5,0.225,3.88,5.175,4.95,5.4,3.8774,5.722,12.94,2.745,9.925,5.49,0.0,1.0,4.0
3.89,27.07,7.23,30.58,0.79,25.64,1.13,20.38,13.55,21.42,0.78,18.75,0.79,22.57,7.66,34.42,0.98,27.63,1.07,31.69,7.44,10.6,1.0,0.0,1.0,1.0,2.0,2.0,13.55,7.23,9.0,2.0,6.0,7.0,4.1191,4.0859,7.55,7.44,7.66,9.4309,23.82,1.2734,8.88,1.695,0.78,3.89,3.9494,7.39,10.27,5.0951,7.2833,6.32,0.0,1.0,2.0
0.63,28.82,0.39,26.24,9.5,15.09,0.79,22.99,13.11,31.63,2.07,43.01,5.0,19.97,5.64,32.28,4.51,25.02,0.68,20.64,0.74,15.82,0.0,0.0,0.0,1.0,1.0,3.0,13.11,9.5,10.0,1.0,5.0,7.0,3.9145,4.0134,2.8167,0.74,5.64,9.1955,27.92,1.9548,8.85,3.38,0.63,5.0,4.6004,6.212,16.54,1.805,11.305,3.61,0.0,1.0,4.0
16.47,33.89,5.77,36.13,9.07,39.58,0.78,18.08,3.35,17.69,0.83,24.92,0.95,31.15,1.22,28.75,7.02,33.66,15.22,20.2,8.19,12.27,3.0,2.0,0.0,2.0,3.0,3.0,16.47,15.22,8.0,3.0,4.0,5.0,6.2609,5.3813,7.6767,5.77,9.07,10.2091,27.31,1.1735,13.46,1.6933,0.78,3.35,4.0727,10.29,13.69,4.1913,12.9033,1.25,1.0,1.0,2.0
12.43,33.55,6.15,18.14,9.35,14.1,1.61,36.97,1.23,27.37,5.34,23.91,1.38,29.85,1.39,24.49,1.1,32.84,12.67,21.47,8.55,38.7,1.0,0.0,0.0,3.0,1.0,3.0,12.67,12.43,9.0,2.0,4.0,5.0,5.5636,4.3751,8.0167,6.15,9.35,7.1064,24.6,1.8124,13.06,2.78,1.39,5.34,2.4591,9.83,12.08,0.12,12.55,0.24,1.0,1.0,4.0
0.58,24.3,20.01,37.42,20.71,30.76,0.6,35.1,10.51,44.26,11.13,23.04,11.45,34.84,20.34,18.64,10.86,14.74,1.25,27.48,9.5,29.42,1.0,0.0,-1.0,4.0,1.0,3.0,20.34,20.01,8.0,3.0,3.0,3.0,10.6309,7.2346,10.8333,10.51,11.13,9.7764,29.52,7.3967,7.62,8.702,0.6,20.71,4.5819,14.57,18.78,0.165,20.175,0.33,1.0,1.0,2.0
8.19,20.9,0.79,20.93,7.92,38.33,1.44,29.77,7.29,43.69,0.68,16.73,11.62,33.18,6.53,16.65,0.96,26.93,1.64,23.25,0.9,31.04,1.0,0.0,2.0,3.0,2.0,3.0,11.62,8.19,9.0,2.0,5.0,6.0,4.36,3.803,7.2467,6.53,7.92,7.26,27.04,0.3895,14.31,1.165,0.68,1.64,1.7511,8.31,12.28,1.715,9.905,3.43,0.0,1.0,2.0
3.54,37.24,0.79,22.17,4.94,21.93,0.63,18.32,3.01,17.41,1.36,35.37,3.23,26.8,13.84,29.74,1.26,19.37,0.79,25.2,0.82,29.02,0.0,0.0,0.0,1.0,2.0,1.0,13.84,1.26,9.0,2.0,6.0,8.0,3.11,3.6598,2.6367,1.36,3.54,10.73,19.83,1.7867,10.7,2.405,0.63,4.94,4.7049,4.602,10.37,6.29,7.55,12.58,0.0,0.0,0.0
1.03,27.46,0.68,24.85,4.57,25.06,6.1,17.16,11.25,21.81,11.27,34.71,4.39,31.51,1.52,41.88,0.82,13.62,0.7,30.96,0.51,35.83,1.0,0.0,-2.0,4.0,1.0,3.0,11.27,11.25,8.0,3.0,5.0,6.0,3.8945,3.9238,3.46,0.82,6.1,7.3755,28.26,0.09,6.45,4.48,4.39,4.57,4.5181,6.192,20.07,4.5915,8.0133,0.02,1.0,2.0,5.0
3.04,12.39,5.4,18.33,0.31,26.84,0.59,23.19,0.32,29.21,2.51,36.24,4.26,27.84,3.72,21.41,1.82,42.83,0.34,18.66,8.66,32.8,1.0,0.0,-1.0,2.0,2.0,2.0,8.66,5.4,8.0,3.0,4.0,6.0,2.8155,2.4948,2.4567,1.82,3.04,5.8445,30.44,0.27,6.43,3.99,3.72,4.26,2.4964,4.286,14.47,1.63,7.03,3.26,0.0,2.0,5.0
8.56,9.29,13.1,17.43,4.51,33.83,9.14,42.32,0.33,29.22,16.06,29.52,0.75,22.02,0.94,18.11,6.08,16.65,6.35,26.47,0.74,26.56,0.0,0.0,1.0,4.0,1.0,3.0,16.06,13.1,8.0,3.0,4.0,4.0,6.0509,5.0752,7.0725,4.51,9.14,10.0091,33.03,0.0,0.0,6.35,6.35,6.35,3.949,9.575,12.09,1.48,14.58,2.96,1.0,1.0,2.0
6.34,44.43,13.03,36.11,4.19,25.06,3.98,34.4,0.53,36.99,0.24,23.8,0.55,31.91,7.51,16.21,6.7,10.61,0.88,29.0,14.3,20.4,3.0,2.0,1.0,4.0,1.0,3.0,14.3,13.03,8.0,3.0,4.0,6.0,5.2955,4.6915,6.85,6.34,7.51,9.0045,33.82,1.678,11.93,2.9,0.53,4.19,3.384,9.576,15.71,0.635,13.665,1.27,1.0,1.0,4.0
4.71,26.81,14.06,25.19,5.13,33.67,0.8,21.05,0.32,30.26,4.12,18.78,0.68,17.49,5.67,43.69,0.66,24.94,5.18,22.99,4.24,14.34,0.0,1.0,0.0,1.0,2.0,3.0,14.06,4.12,10.0,1.0,4.0,7.0,4.1427,3.7292,4.955,4.24,5.67,9.9173,29.35,0.2108,10.68,5.0067,4.71,5.18,4.1086,7.0225,6.41,4.97,9.09,9.94,0.0,1.0,2.0
0.13,18.26,0.65,29.87,17.46,32.26,5.72,19.17,7.02,7.16,0.59,20.69,1.15,24.89,13.71,15.56,3.56,33.78,3.08,26.87,4.83,43.51,0.0,0.0,-1.0,2.0,2.0,1.0,17.46,13.71,8.0,3.0,4.0,5.0,5.2636,5.3737,5.925,4.83,7.02,12.1964,36.35,1.8018,14.61,3.2525,0.65,5.72,5.0682,10.755,16.7,1.875,15.585,3.75,1.0,0.0,5.0
0.78,28.66,4.35,46.49,1.17,23.0,0.38,31.99,1.5,37.88,10.79,30.42,5.53,23.45,6.52,29.31,0.81,26.41,0.85,34.74,3.36,12.21,3.0,2.0,-1.0,2.0,2.0,2.0,10.79,5.53,9.0,2.0,6.0,6.0,3.2764,3.1246,4.01,1.5,6.52,7.5136,34.28,1.4693,34.28,2.4325,0.85,4.35,3.3037,6.085,6.97,2.63,8.16,5.26,0.0,0.0,0.0
0.41,28.45,0.33,17.98,0.32,21.23,10.34,29.98,9.45,18.64,0.75,24.62,5.66,37.94,2.97,28.42,3.39,13.03,4.01,24.72,3.35,21.39,0.0,0.0,-1.0,3.0,2.0,2.0,10.34,9.45,9.0,2.0,4.0,7.0,3.7255,3.3594,4.525,3.39,5.66,6.6145,24.91,1.5422,10.47,2.214,0.33,4.01,2.82,7.21,11.34,0.445,9.895,0.89,0.0,1.0,4.0
0.47,28.66,0.7,17.87,0.71,31.6,4.03,23.46,3.95,20.68,3.33,28.06,13.03,30.46,0.55,24.69,0.68,21.44,1.52,15.73,11.62,19.98,0.0,0.0,0.0,1.0,1.0,3.0,13.03,11.62,11.0,0.0,5.0,9.0,3.69,4.2879,1.8533,0.71,3.33,9.34,15.87,0.04,2.78,3.99,3.95,4.03,5.2188,6.042,10.48,0.705,12.325,1.41,1.0,1.0,1.0
0.57,29.04,0.47,31.46,14.72,23.92,5.32,29.8,4.03,32.83,1.04,38.11,2.17,9.53,3.02,21.08,6.96,35.45,0.6,33.78,0.52,24.31,0.0,1.0,0.0,1.0,1.0,3.0,14.72,6.96,10.0,1.0,5.0,7.0,3.5836,4.0953,2.0767,1.04,3.02,11.1364,28.58,0.645,3.03,4.675,4.03,5.32,4.9847,5.582,11.53,3.88,10.84,7.76,0.0,1.0,1.0
1.34,29.69,16.57,32.14,3.57,16.98,0.02,20.27,10.83,20.95,0.89,25.96,5.67,8.13,0.73,24.42,0.24,32.92,2.0,37.42,4.88,42.1,3.0,2.0,-1.0,4.0,3.0,3.0,16.57,10.83,8.0,3.0,5.0,6.0,4.2491,4.9464,4.1833,2.0,5.67,12.3209,33.97,1.115,12.71,2.455,1.34,3.57,5.1501,7.99,11.19,2.87,13.7,5.74,1.0,1.0,2.0
0.68,33.03,17.21,35.19,6.91,9.4,0.75,25.52,0.46,29.86,5.62,31.16,5.26,43.16,0.09,21.34,4.89,20.5,16.04,18.92,5.61,25.84,0.0,0.0,-2.0,4.0,1.0,3.0,17.21,16.04,9.0,2.0,4.0,5.0,5.7745,5.6431,5.6867,4.89,6.91,11.4355,33.76,0.0,0.0,5.61,5.61,5.61,5.2124,9.3217,16.27,5.2097,12.9567,1.17,1.0,1.0,4.0
5.03,29.7,0.57,27.68,5.73,39.53,0.61,30.41,0.42,19.12,9.85,44.39,11.6,15.49,0.27,23.46,2.45,16.56,13.07,33.98,7.77,10.02,3.0,2.0,1.0,3.0,1.0,3.0,13.07,11.6,8.0,3.0,4.0,5.0,5.2155,4.5592,7.7833,5.73,9.85,7.8545,34.37,1.29,13.14,3.74,2.45,5.03,2.6241,9.604,18.49,0.735,12.335,1.47,1.0,1.0,4.0
14.98,31.83,0.2,25.2,0.24,29.48,4.11,27.17,8.41,8.98,8.06,44.29,4.88,23.03,0.23,21.29,4.14,33.69,7.28,17.34,0.13,17.08,0.0,0.0,1.0,4.0,1.0,3.0,14.98,7.28,9.0,2.0,4.0,7.0,4.7873,4.462,6.87,4.14,8.41,10.1927,35.31,0.385,4.14,4.495,4.11,4.88,3.5401,8.574,14.49,3.85,11.13,7.7,0.0,1.0,2.0
1.08,16.88,11.06,30.97,3.98,26.94,8.14,21.58,0.65,24.64,4.14,22.84,0.9,43.78,4.1,19.49,3.55,15.52,0.4,28.9,0.69,20.38,0.0,0.0,-1.0,3.0,2.0,2.0,11.06,8.14,10.0,1.0,5.0,8.0,3.5173,3.2742,2.225,0.9,3.55,7.5427,28.26,0.068,7.45,4.0733,3.98,4.14,3.9422,5.9125,9.39,1.46,9.6,2.92,0.0,0.0,0.0
1.07,24.74,5.75,38.88,1.01,30.89,0.93,27.25,7.32,24.99,1.35,42.21,0.17,35.96,3.44,21.36,0.78,17.38,3.82,32.16,1.64,10.22,1.0,0.0,-1.0,4.0,2.0,1.0,7.32,5.75,8.0,3.0,6.0,6.0,2.48,2.2073,1.2567,0.78,1.64,4.84,31.99,0.0,0.0,3.82,3.82,3.82,2.417,3.38,17.52,1.5936,5.5033,1.57,0.0,0.0,5.0
0.59,25.37,13.2,33.89,0.53,20.95,5.19,23.2,5.63,37.17,6.42,43.99,0.46,17.46,1.45,11.6,13.85,17.02,0.55,30.02,3.55,28.59,1.0,0.0,1.0,2.0,2.0,3.0,13.85,13.2,7.0,4.0,5.0,5.0,4.6745,4.6845,4.5,1.45,6.42,9.1755,32.39,1.9595,12.56,2.056,0.46,5.19,4.7375,8.11,16.87,0.325,13.525,0.65,1.0,1.0,3.0
5.16,33.37,1.04,24.6,10.48,37.5,1.01,32.7,2.19,14.23,4.73,29.08,2.25,44.27,11.93,19.68,4.16,16.76,1.07,35.64,1.23,29.0,3.0,2.0,-2.0,3.0,3.0,3.0,11.93,10.48,7.0,4.0,4.0,5.0,4.1136,3.6548,2.22,2.19,2.25,7.8164,30.04,1.918,11.04,2.602,1.01,5.16,4.1712,6.202,20.74,3.3734,8.8567,1.45,1.0,1.0,1.0
0.37,23.67,14.61,23.91,0.34,11.0,0.71,28.92,3.34,35.18,0.34,32.48,0.4,30.58,2.29,18.55,0.64,40.1,0.36,36.73,0.16,26.91,0.0,0.0,-2.0,4.0,3.0,1.0,14.61,3.34,8.0,3.0,8.0,7.0,2.1418,4.0563,1.09,0.34,2.29,12.4682,29.1,0.155,1.66,0.555,0.4,0.71,5.2975,4.244,11.27,5.635,8.975,11.27,0.0,0.0,0.0
