defender1_x,defender1_y,defender2_x,defender2_y,defender3_x,defender3_y,defender4_x,defender4_y,defender5_x,defender5_y,defender6_x,defender6_y,defender7_x,defender7_y,defender8_x,defender8_y,defender9_x,defender9_y,defender10_x,defender10_y,defender11_x,defender11_y,offensive_alignment,possessionTeamScoreDiff,quarter,down,yards_to_go,deepest_safety_depth,next_deepest_safety_depth,middle_field_count,outside_field_count,players_near_los,players_in_box,avg_defender_depth,std_defender_depth,avg_cb_depth,min_cb_depth,avg_defender_to_deepest_safety_depth,defender_lateral_spread,std_lb_depth,lb_lateral_spread,avg_lb_depth,std_db_depth,avg_db_depth,safety_lateral_spread,std_safety_depth,avg_safety_depth,safety_depth_diff,mof_open,man_zone,target_y
3.94,28.31,7.13,14.44,1.04,17.14,0.85,29.97,12.55,30.6,8.12,33.83,10.24,41.97,0.67,21.52,3.48,23.12,1.0,24.89,0.79,18.48,1.0,-1.0,2.0,1.0,3.0,12.55,1.04,9.0,2.0,5.0,7.0,4.5282,4.102,8.4967,7.13,8.0218,27.53,1.4543,11.49,2.265,3.8669,7.816,13.46,5.755,6.795,11.510000000000002,0.0,1.0,2.0
0.58,34.83,9.07,26.34,4.5,29.52,3.5,26.4,0.78,27.97,0.76,30.31,6.16,39.64,4.93,35.69,11.55,32.95,0.97,26.08,4.06,20.11,0.0,1.0,4.0,1.0,3.0,11.55,9.07,11.0,0.0,4.0,8.0,4.26,3.4343,5.05,4.06,7.29,19.53,1.6631,8.43,2.86,2.775,7.154,6.61,1.24,10.31,2.4800000000000004,0.0,1.0,3.0
6.06,29.82,0.1,28.16,12.9,32.62,0.2,32.6,5.96,10.77,8.04,26.29,2.09,42.21,11.54,19.03,7.11,17.62,0.55,21.41,0.07,30.44,1.0,1.0,4.0,4.0,3.0,12.9,11.54,9.0,2.0,4.0,4.0,4.9655,4.4775,4.025,2.09,7.9345,31.44,3.4124,11.19,3.7125,3.9087,7.92,15.0,2.472,10.5167,1.3600000000000012,1.0,1.0,1.0
6.21,9.73,0.79,31.84,3.96,37.41,0.85,34.51,2.31,18.94,8.01,43.87,1.54,26.62,18.03,27.66,2.37,35.94,0.88,28.25,0.88,24.05,0.0,-1.0,4.0,1.0,3.0,18.03,2.37,8.0,3.0,4.0,7.0,4.1664,4.943,5.51,2.31,13.8636,34.14,1.273,13.36,1.8075,5.7618,7.386,8.28,7.83,10.2,15.66,0.0,0.0,0.0
0.96,24.48,0.86,17.4,1.43,41.23,2.87,36.38,1.0,32.3,1.7,9.18,1.51,29.02,1.83,36.49,1.23,34.62,19.13,24.72,1.81,22.68,3.0,1.0,3.0,2.0,2.0,19.13,1.83,8.0,3.0,5.0,7.0,3.1209,5.0907,1.4567,0.86,16.0091,32.05,0.7305,6.61,1.8433,7.0412,5.066,11.77,8.65,10.48,17.299999999999997,0.0,0.0,0.0
0.42,28.93,4.46,27.02,0.22,25.7,12.72,21.85,14.03,35.44,5.68,16.13,4.07,30.52,4.76,23.52,0.54,33.0,6.2,37.26,0.43,22.2,0.0,1.0,3.0,2.0,2.0,14.03,12.72,9.0,2.0,4.0,7.0,4.8664,4.5593,5.94,5.68,9.1636,21.13,1.7021,9.48,3.4575,3.7507,9.6575,13.59,0.655,13.375,1.3099999999999987,1.0,1.0,1.0
0.34,32.57,0.11,24.31,7.3,33.93,0.87,19.41,4.99,10.43,3.58,30.97,4.55,16.44,0.44,27.88,3.45,25.4,0.27,21.81,1.1,37.02,1.0,-2.0,4.0,1.0,2.0,7.3,0.87,8.0,3.0,6.0,7.0,2.4545,2.3296,3.5467,1.1,4.8455,26.59,1.4977,7.17,2.4567,2.4534,3.762,14.52,3.215,4.085,6.43,0.0,0.0,0.0
0.7,27.22,0.48,29.65,6.54,10.33,12.29,19.47,8.6,37.01,0.94,24.14,17.2,32.23,7.49,29.78,0.85,22.38,8.35,43.51,0.82,18.79,1.0,2.0,4.0,3.0,3.0,17.2,12.29,8.0,3.0,5.0,5.0,5.8418,5.3686,7.83,6.54,11.3582,33.18,2.9365,10.99,2.41,3.7937,10.596,12.76,2.455,14.745,4.91,1.0,1.0,2.0
3.84,27.27,0.31,25.27,5.77,18.51,0.23,18.25,0.26,9.11,3.66,22.29,7.95,38.3,13.64,29.11,0.13,26.81,2.92,33.07,0.09,29.35,1.0,1.0,4.0,3.0,2.0,13.64,5.77,9.0,2.0,5.0,7.0,3.5273,4.0743,4.105,0.26,10.1127,29.19,1.7865,9.02,1.965,4.5739,6.108,14.56,4.5336,7.4433,7.870000000000001,0.0,1.0,4.0
0.39,29.51,10.8,33.83,1.38,17.15,4.06,14.16,5.7,30.48,11.77,20.15,4.95,24.21,3.62,43.84,4.68,20.29,0.97,24.84,0.83,20.71,0.0,-1.0,1.0,2.0,3.0,11.77,10.8,9.0,2.0,4.0,7.0,4.4682,3.6647,3.84,3.62,7.3018,29.68,0.4315,10.19,5.11,3.7415,7.5625,13.68,0.485,11.285,0.9699999999999989,1.0,1.0,2.0
6.5,26.89,13.6,32.96,5.09,20.31,12.44,18.24,8.43,12.67,0.69,17.52,0.65,24.68,9.68,42.67,0.73,21.31,4.04,34.21,0.95,29.55,0.0,-1.0,2.0,1.0,3.0,13.6,12.44,8.0,3.0,4.0,4.0,5.7091,4.6,9.055,8.43,7.8909,30.0,2.4937,12.03,2.792,3.357,9.638,15.97,4.2596,10.0267,1.1600000000000001,1.0,1.0,4.0
0.39,18.57,0.99,21.23,4.39,28.92,3.55,43.6,5.88,32.95,0.65,29.62,16.18,16.79,0.66,26.51,4.02,9.4,16.37,35.07,6.06,22.82,1.0,1.0,2.0,3.0,2.0,16.37,16.18,8.0,3.0,4.0,5.0,5.3764,5.5032,4.4833,3.55,10.9936,34.2,0.835,6.1,5.225,5.8293,9.2,18.28,0.095,16.275,0.19000000000000128,1.0,1.0,1.0
5.11,25.43,15.11,16.19,4.19,20.97,0.61,21.22,0.06,30.74,16.15,34.44,3.78,45.34,0.85,24.66,3.74,33.86,1.23,10.89,0.16,18.13,1.0,1.0,2.0,1.0,3.0,16.15,15.11,8.0,3.0,5.0,6.0,4.6355,5.4552,2.9167,1.23,11.5145,34.45,2.1497,7.3,3.1533,6.305,8.002,18.25,0.52,15.63,1.0399999999999991,1.0,1.0,4.0
1.26,18.69,13.2,28.84,7.63,44.16,1.07,25.78,1.15,21.17,6.91,18.57,4.24,21.5,6.16,37.05,1.34,28.89,3.26,26.6,5.36,15.41,0.0,0.0,1.0,2.0,1.0,13.2,6.91,9.0,2.0,4.0,6.0,4.6891,3.5608,6.495,5.36,8.5109,28.75,0.49,5.1,3.75,2.7789,7.852,18.48,3.1568,8.7567,6.289999999999999,0.0,0.0,0.0
0.68,22.47,14.11,32.29,1.71,9.66,3.07,22.58,11.64,22.36,1.21,30.4,4.93,31.8,1.66,16.91,1.69,43.84,0.64,34.79,1.0,26.31,1.0,-1.0,3.0,2.0,2.0,14.11,11.64,8.0,3.0,4.0,6.0,3.8491,4.4437,1.6867,1.66,10.2609,34.18,0.93,9.22,4.0,5.5365,6.162,9.93,1.235,12.875,2.469999999999999,1.0,0.0,0.0
0.58,20.5,0.92,30.95,4.29,15.58,11.65,27.27,1.09,18.93,4.73,25.53,2.7,21.62,0.74,33.1,0.48,28.04,0.35,25.06,0.52,26.27,1.0,-1.0,4.0,3.0,0.0,11.65,2.7,10.0,1.0,7.0,9.0,2.55,3.2446,2.04,0.74,9.1,17.52,2.075,5.03,2.655,3.9837,4.094,5.65,4.475,7.175,8.95,0.0,0.0,0.0
3.53,33.46,0.34,30.05,8.66,29.26,0.51,18.49,4.23,16.89,3.2,25.96,9.55,9.37,11.38,17.69,0.17,20.5,0.19,24.38,4.33,43.12,0.0,1.0,3.0,3.0,3.0,11.38,8.66,9.0,2.0,4.0,7.0,4.19,3.842,6.0367,4.23,7.19,33.75,1.5605,12.96,1.81,2.8726,7.63,11.57,1.36,10.02,2.7200000000000006,0.0,1.0,3.0
11.66,36.33,4.64,12.52,0.15,21.22,0.36,24.82,0.48,17.91,3.48,21.46,4.69,33.6,0.47,29.4,2.64,17.01,4.83,44.35,11.42,19.47,3.0,-1.0,3.0,2.0,1.0,11.66,11.42,8.0,3.0,4.0,7.0,4.0745,3.9346,4.735,4.64,7.5855,31.83,0.42,4.45,3.06,3.3425,7.448,16.86,3.2306,9.2567,0.2400000000000002,1.0,1.0,4.0
0.69,31.74,4.13,26.53,4.39,33.28,0.56,24.68,3.74,39.02,4.38,30.81,9.08,35.3,7.03,22.85,1.03,21.75,0.66,28.75,0.9,34.8,2.0,-1.0,2.0,1.0,3.0,9.08,7.03,11.0,0.0,5.0,9.0,3.3264,2.7428,3.0533,1.03,5.7536,17.27,1.7688,10.12,2.4925,2.7739,5.054,12.45,1.025,8.055,2.05,0.0,2.0,5.0
4.8,37.76,11.33,30.71,0.31,21.8,0.61,18.36,0.46,25.46,3.12,18.81,4.52,24.22,4.18,28.82,6.05,14.7,0.32,29.45,11.52,20.73,1.0,1.0,2.0,1.0,3.0,11.52,11.33,10.0,1.0,4.0,7.0,4.2927,3.8898,4.6567,3.12,7.2273,23.06,0.17,4.6,4.35,3.4442,7.364,9.98,0.095,11.425,0.1899999999999995,1.0,1.0,4.0
13.72,29.16,1.52,17.91,5.15,13.03,8.57,39.99,3.65,20.75,4.56,26.76,0.67,21.33,10.14,19.08,0.92,29.53,1.85,34.86,0.91,24.39,0.0,2.0,3.0,1.0,3.0,13.72,10.14,8.0,3.0,3.0,6.0,4.6964,4.1602,5.19,1.85,9.0236,26.96,1.5934,11.62,2.3333,4.0508,7.18,10.08,4.1679,9.17,3.58,1.0,1.0,2.0
0.28,36.03,4.4,26.68,0.45,21.75,10.16,36.7,0.62,26.69,1.12,9.02,4.2,31.93,11.83,20.31,0.67,29.78,3.93,16.93,1.31,41.58,1.0,-3.0,3.0,2.0,2.0,11.83,10.16,8.0,3.0,6.0,6.0,3.5427,3.8334,2.12,1.12,8.2873,32.56,1.8968,9.35,2.96,4.491,5.67,16.39,0.835,10.995,1.67,1.0,1.0,2.0
6.04,10.01,11.38,31.67,0.27,26.99,0.17,35.09,0.03,24.17,8.44,19.23,5.35,24.73,5.24,32.24,17.79,26.27,2.73,38.91,0.03,32.53,1.0,-1.0,4.0,2.0,2.0,17.79,11.38,9.0,2.0,4.0,5.0,5.2245,5.369,5.7367,2.73,12.5655,28.9,0.055,7.51,5.295,5.1173,9.276,5.4,3.205,14.585,6.409999999999998,1.0,1.0,1.0
4.0,27.68,7.27,39.31,4.4,21.78,0.9,28.45,9.43,15.76,0.44,35.17,8.44,34.76,0.48,31.87,0.66,23.67,12.63,23.83,3.46,30.73,0.0,-2.0,2.0,2.0,2.0,12.63,8.44,10.0,1.0,4.0,7.0,4.7373,3.9849,7.0333,4.4,7.8927,23.55,1.6033,11.5,2.14,2.6917,8.434,10.93,2.095,10.535,4.190000000000001,0.0,1.0,2.0
0.48,24.2,19.88,25.02,0.48,29.34,0.72,26.86,3.82,31.3,2.66,20.43,0.05,35.54,2.71,35.67,0.69,18.04,0.74,31.9,0.65,11.6,1.0,2.0,2.0,3.0,2.0,19.88,3.82,9.0,2.0,7.0,8.0,2.9891,5.4637,1.3333,0.65,16.8909,24.07,0.0,0.0,0.74,6.7206,5.0683,10.65,7.8455,8.8033,16.06,0.0,0.0,0.0
0.71,32.31,14.58,26.66,1.09,23.95,1.16,26.95,4.06,35.84,8.39,16.67,0.71,30.01,6.05,29.59,0.81,36.29,4.17,17.67,7.78,39.4,0.0,-2.0,4.0,2.0,1.0,14.58,4.06,9.0,2.0,5.0,6.0,4.5009,4.2139,6.78,4.17,10.0791,22.73,2.4069,12.34,2.65,3.8336,7.796,9.18,5.26,9.32,10.52,0.0,1.0,2.0
11.6,32.9,3.85,22.27,8.24,17.47,7.03,43.26,4.12,32.01,0.54,29.34,2.89,26.94,0.53,24.66,1.17,35.83,2.66,37.09,0.64,32.19,1.0,1.0,2.0,1.0,3.0,11.6,3.85,9.0,2.0,4.0,8.0,3.9336,3.4542,5.9767,2.66,7.6664,25.79,1.4151,11.17,2.1775,3.1916,6.676,10.63,3.875,7.725,7.75,0.0,1.0,2.0
0.44,32.55,0.76,16.94,0.76,28.27,15.47,23.48,0.49,37.2,1.29,20.87,2.98,28.33,0.27,35.06,0.53,41.77,0.33,23.62,3.27,30.33,2.0,-1.0,2.0,3.0,2.0,15.47,3.27,9.0,2.0,8.0,8.0,2.4173,4.2462,0.86,0.53,13.0527,24.83,1.325,4.71,1.655,5.3774,3.635,13.72,6.5061,6.41,12.200000000000001,0.0,0.0,0.0
5.53,10.94,8.67,25.58,6.54,18.15,0.99,17.81,0.68,25.91,7.26,32.97,0.96,20.65,6.46,41.92,1.07,29.99,12.89,17.14,15.67,34.23,0.0,1.0,4.0,1.0,3.0,15.67,12.89,8.0,3.0,4.0,4.0,6.0655,4.8004,6.4167,5.53,9.6045,30.98,3.3728,12.18,4.3175,3.989,9.562,17.09,1.39,14.28,2.7799999999999994,1.0,1.0,1.0
0.83,30.96,3.96,24.24,5.47,14.98,1.01,38.8,4.59,31.7,12.01,34.78,11.65,20.57,7.79,11.72,0.73,28.69,0.76,34.83,0.75,24.82,1.0,-1.0,3.0,2.0,3.0,12.01,11.65,9.0,2.0,5.0,7.0,4.5045,4.1286,4.7567,1.01,7.5055,27.08,1.774,10.59,2.515,4.0951,7.586,14.21,0.18,11.83,0.35999999999999943,1.0,1.0,3.0
0.4,32.21,0.58,28.13,12.44,32.64,4.17,31.17,4.59,27.89,1.44,34.21,0.6,24.68,5.23,38.48,0.56,21.72,1.34,10.05,8.84,23.86,2.0,1.0,2.0,1.0,3.0,12.44,8.84,9.0,2.0,6.0,7.0,3.6536,3.7768,3.285,1.34,8.7864,28.43,1.7942,12.49,2.232,4.1274,6.9625,8.78,1.8,10.64,3.5999999999999996,0.0,1.0,2.0
3.92,22.83,0.17,21.49,0.68,14.86,0.41,18.25,0.49,27.4,4.98,21.72,3.24,26.51,1.84,32.94,2.81,35.93,8.74,25.31,0.46,29.64,2.0,-1.0,3.0,3.0,2.0,8.74,0.68,10.0,1.0,5.0,9.0,2.5218,2.5134,3.21,1.84,6.2182,21.07,1.5909,11.39,2.0075,2.8408,3.81,10.45,4.03,4.71,8.06,0.0,0.0,0.0
12.59,21.94,4.61,18.05,0.04,31.7,4.41,25.48,9.2,35.1,0.36,28.69,0.16,21.78,2.89,33.46,0.49,10.73,0.15,36.69,5.82,40.65,3.0,-1.0,4.0,3.0,1.0,12.59,9.2,8.0,3.0,5.0,6.0,3.7018,3.9972,3.64,0.49,8.8882,29.92,1.8283,14.91,1.9025,4.1115,6.542,13.16,1.695,10.895,3.3900000000000006,0.0,1.0,2.0
1.2,26.58,1.16,29.37,9.6,39.58,2.67,10.43,8.86,19.83,17.18,25.17,0.79,22.67,1.01,24.7,1.15,21.26,0.69,17.94,0.92,32.22,1.0,-1.0,1.0,3.0,2.0,17.18,8.86,9.0,2.0,7.0,7.0,4.1118,5.1702,6.135,2.67,13.0682,29.15,0.1337,6.76,0.83,5.7617,7.846,12.39,6.6387,8.9867,8.32,0.0,1.0,1.0
0.36,35.03,16.24,16.95,0.33,24.09,11.38,25.56,9.46,34.16,0.18,26.68,9.91,42.9,10.56,6.86,9.23,14.12,21.0,35.66,0.28,32.69,3.0,2.0,3.0,3.0,3.0,21.0,16.24,7.0,4.0,4.0,4.0,8.0845,6.7423,9.9,9.23,12.9155,36.04,4.8067,9.47,7.0667,4.5488,13.388,18.71,2.38,18.62,4.760000000000002,1.0,1.0,1.0
12.34,19.48,0.23,23.46,4.98,27.71,1.37,9.62,6.9,44.51,0.14,35.26,4.63,31.79,0.28,31.46,0.45,27.86,1.22,18.86,13.65,37.5,0.0,1.0,4.0,1.0,3.0,13.65,12.34,8.0,3.0,6.0,6.0,4.1991,4.6924,3.1633,1.22,9.4509,34.89,0.175,4.08,4.805,5.2499,7.096,18.02,0.655,12.995,1.3100000000000005,1.0,1.0,1.0
4.31,34.65,5.24,22.29,7.15,12.35,0.82,29.33,1.96,24.44,0.79,26.4,0.41,32.03,6.97,43.26,0.27,19.64,17.85,35.41,18.37,16.08,0.0,-1.0,4.0,2.0,1.0,18.37,17.85,8.0,3.0,4.0,6.0,5.8309,6.2755,6.1433,4.31,12.5391,30.91,0.6637,12.39,0.865,5.8312,9.9817,19.33,6.0707,13.82,0.5199999999999996,1.0,0.0,5.0
0.35,23.87,4.0,25.94,0.76,10.09,4.84,18.39,12.89,31.21,10.04,24.58,4.12,31.2,0.73,27.41,0.8,34.88,0.79,43.62,0.86,30.76,1.0,1.0,2.0,1.0,3.0,12.89,10.04,8.0,3.0,6.0,6.0,3.6527,4.0432,2.8,0.76,9.2373,33.53,1.5376,8.94,2.9733,4.8918,5.864,19.04,5.165,7.9067,2.8500000000000014,1.0,0.0,0.0
0.81,32.17,3.85,28.99,11.36,32.8,10.59,19.63,0.62,34.49,0.31,25.79,6.44,13.25,5.19,38.75,0.3,28.83,3.34,21.33,4.04,32.98,0.0,0.0,2.0,1.0,3.0,11.36,10.59,9.0,2.0,4.0,7.0,4.2591,3.7367,5.815,5.19,7.1009,25.5,0.2956,11.65,3.7433,2.6317,8.395,13.17,0.385,10.975,0.7699999999999996,1.0,1.0,2.0
0.32,35.3,1.54,11.43,4.09,27.18,3.22,37.24,0.43,30.76,13.22,36.14,14.4,21.55,0.78,26.26,0.13,23.92,6.5,17.18,0.13,42.87,0.0,2.0,3.0,3.0,1.0,14.4,13.22,8.0,3.0,5.0,6.0,4.0691,4.9785,2.7233,0.13,10.3309,31.44,1.655,0.92,2.435,5.5303,6.5017,15.69,5.0154,10.28,1.1799999999999997,1.0,0.0,0.0
0.4,20.01,0.15,32.73,7.83,31.82,4.29,28.66,8.13,37.59,0.33,24.99,13.03,22.13,3.44,20.57,0.3,28.51,4.07,25.49,7.49,16.17,2.0,1.0,3.0,1.0,3.0,13.03,7.83,9.0,2.0,4.0,7.0,4.4964,4.0236,7.81,7.49,8.5336,21.42,1.6677,12.16,2.9875,2.2688,9.12,9.69,2.6,10.43,5.199999999999999,0.0,1.0,2.0
4.44,28.31,1.16,28.52,0.87,25.92,13.56,27.59,0.48,23.16,3.47,23.59,0.96,10.04,3.43,18.14,1.29,33.69,0.79,19.36,8.94,41.84,1.0,-2.0,4.0,1.0,3.0,13.56,3.43,9.0,2.0,6.0,8.0,3.5809,3.9521,4.95,0.96,9.9791,31.8,1.5345,9.16,2.465,4.8852,5.636,15.55,5.3515,6.0933,10.13,0.0,1.0,2.0
4.9,28.79,10.57,37.93,3.03,19.31,1.14,25.57,9.74,19.78,6.06,10.86,1.0,29.56,5.08,25.0,4.34,44.98,0.92,33.48,0.9,22.58,0.0,-2.0,4.0,1.0,3.0,10.57,9.74,8.0,3.0,4.0,6.0,4.3345,3.2813,5.2,4.34,6.2355,34.12,0.09,3.79,4.99,2.9548,6.748,18.62,3.3758,7.78,0.8300000000000001,0.0,1.0,1.0
0.7,26.78,15.33,18.2,0.43,32.9,13.37,34.5,0.79,36.7,4.91,33.75,8.0,42.66,6.95,26.94,1.37,23.65,6.47,20.33,1.05,11.45,2.0,-1.0,3.0,3.0,3.0,15.33,13.37,8.0,3.0,5.0,5.0,5.3973,5.008,5.1733,1.05,9.9327,31.21,2.7773,13.05,3.0367,4.8742,8.1883,16.3,4.5214,11.2033,1.9600000000000009,1.0,1.0,3.0
3.27,9.5,5.3,31.81,0.53,29.61,0.24,21.49,0.43,25.79,2.27,19.07,4.79,24.91,4.4,27.78,1.76,36.17,0.25,32.32,14.76,22.44,0.0,-1.0,4.0,1.0,3.0,14.76,5.3,10.0,1.0,4.0,8.0,3.4545,4.0058,2.4333,1.76,11.3055,26.67,0.195,2.87,4.595,4.7995,5.472,9.37,4.73,10.03,9.46,0.0,1.0,2.0
0.56,26.06,0.32,20.99,0.5,29.71,0.31,15.21,0.43,34.46,0.39,23.86,4.85,31.77,7.59,24.73,2.75,25.21,0.05,17.51,3.42,20.61,0.0,-1.0,3.0,1.0,1.0,7.59,4.85,10.0,1.0,7.0,9.0,1.9245,2.35,0.37,0.31,5.6655,19.25,1.35,7.7,1.4,2.7567,3.32,11.16,1.7302,5.2867,2.74,0.0,0.0,0.0
0.85,24.26,1.03,31.55,14.09,21.56,5.15,31.85,1.11,27.86,11.58,35.03,6.06,38.4,0.77,35.67,6.94,13.6,5.01,27.58,4.07,20.41,2.0,1.0,3.0,1.0,3.0,14.09,11.58,10.0,1.0,4.0,5.0,5.1509,4.2368,5.69,4.07,8.9391,24.8,0.07,4.27,5.08,3.7077,8.548,13.47,1.255,12.835,2.51,1.0,1.0,4.0
12.97,18.02,15.99,34.38,0.52,28.2,0.52,32.2,3.58,36.32,5.99,30.02,5.78,20.38,0.25,24.32,6.6,39.78,0.21,36.03,1.41,8.28,0.0,1.0,4.0,1.0,3.0,15.99,12.97,8.0,3.0,5.0,5.0,4.8927,5.1246,4.5967,1.41,11.0973,31.5,1.205,6.3,4.785,5.2411,8.55,16.36,1.51,14.48,3.0199999999999996,1.0,1.0,2.0
0.68,25.0,4.0,29.91,0.71,26.18,0.7,22.63,5.89,25.7,0.39,18.39,10.85,24.09,0.44,30.41,0.26,20.7,1.65,11.43,0.68,33.99,0.0,-1.0,4.0,2.0,3.0,10.85,4.0,9.0,2.0,7.0,7.0,2.3864,3.1741,3.77,1.65,8.4636,22.56,0.1388,12.02,0.5525,3.6098,4.614,9.9,4.2344,5.1767,6.85,0.0,0.0,0.0
0.08,26.79,9.8,8.96,7.82,42.22,0.36,30.82,0.59,23.64,4.4,36.56,7.01,13.69,0.24,34.62,14.94,35.8,15.55,18.58,4.34,24.15,3.0,-3.0,2.0,2.0,3.0,15.55,14.94,7.0,4.0,4.0,6.0,5.9209,5.4309,8.21,7.01,9.6291,33.26,1.9815,12.92,2.3925,3.5692,11.024,17.22,0.305,15.245,0.6100000000000012,1.0,1.0,4.0
8.45,24.38,0.69,27.15,1.28,30.26,8.97,7.35,0.7,36.09,5.93,33.35,15.59,34.96,8.2,16.55,7.57,45.04,16.95,21.87,0.31,23.17,0.0,-1.0,1.0,3.0,3.0,16.95,15.59,8.0,3.0,4.0,4.0,6.7855,5.5445,8.2467,7.57,10.1645,37.69,0.195,12.92,0.505,3.9339,10.2371,13.09,4.6515,11.73,1.3599999999999994,1.0,1.0,2.0
1.29,27.51,0.92,19.4,1.22,29.59,1.12,21.85,14.92,27.44,2.31,35.92,0.92,32.29,5.3,20.74,6.13,32.67,6.65,27.14,1.09,25.53,0.0,3.0,4.0,4.0,1.0,14.92,6.13,11.0,0.0,6.0,7.0,3.8064,4.1093,2.8433,0.92,11.1136,16.52,0.0,0.0,6.65,4.888,5.916,5.23,4.395,10.525,8.79,0.0,0.0,0.0
